Community	Unknown	Annotated	Functions
C0	Zm00001eb117870	Known	positive regulation of chromosome organization.purine ribonucleotide catabolic process.Unknown.cell population proliferation.ATP binding.multicellular organismal process.Unknown.nucleus.Unknown.purine ribonucleoside triphosphate catabolic process.Unknown.membrane.ATP metabolic process.negative regulation of chromosome organization.DNA-mediated transformation.nucleosome.DNA helicase activity.purine ribonucleoside catabolic process.DNA methylation-dependent constitutive heterochromatin formation.regulatory ncRNA-mediated post-transcriptional gene silencing.Unknown.Unknown.Unknown.retrotransposition.Unknown.DNA binding.regulatory ncRNA-mediated heterochromatin formation.transcription by RNA polymerase II
C0	Zm00001eb254480	Known	Golgi organization.mucilage metabolic process involved in seed coat development.glucomannan 4-beta-mannosyltransferase activity.response to bacterium.mannosylation.mannan synthase activity.cell wall organization.membrane.cellulose synthase (UDP-forming) activity.cytokinin-activated signaling pathway.cell wall biogenesis.Golgi membrane.response to salt stress.mucilage biosynthetic process.calcium ion transport.DNA-mediated transformation
C0	Zm00001eb379030	Known	microtubule.cytoskeleton organization.ATP binding.kinesin complex.microtubule-based movement.metabolic process.phragmoplast.microtubule motor activity.microtubule binding.ATP hydrolysis activity
C0	Zm00001eb247140	Zm00001eb068660.Zm00001eb069640.Zm00001eb302950.Zm00001eb395520	
C0	Zm00001eb101640	Known	intracellular anatomical structure.transport.binding.lipid transporter activity.membrane.cellular component organization.primary metabolic process.plasma membrane.Unknown.macromolecule localization
C0	Zm00001eb308160	Zm00001eb216890.Zm00001eb072560.Zm00001eb290510.Zm00001eb162700.Zm00001eb291710.Zm00001eb198700	DNA metabolic process.nucleic acid metabolic process.nucleobase-containing compound metabolic process.nucleotide binding.nucleoside phosphate binding.heterocyclic compound binding.DNA helicase activity.regulation of cellular process.ATP-dependent activity, acting on DNA.helicase activity
C0	Zm00001eb344240	Known	MAPK cascade.protein dimerization activity.RNA polymerase II transcription regulatory region sequence-specific DNA binding.DNA-templated transcription.nucleus.animal organ development.positive regulation of transcription by RNA polymerase II.DNA-binding transcription factor activity.endosperm development.regulation of auxin polar transport
C0	Zm00001eb123370	Zm00001eb210660.Zm00001eb148540.Zm00001eb148530.Zm00001eb366710.Zm00001eb177270	protein-containing complex.nucleosome assembly.nucleosome organization.protein-DNA complex assembly.protein-DNA complex organization.nucleosome.protein-DNA complex.protein heterodimerization activity.nucleolus.protein binding
C0	Zm00001eb046620	Zm00001eb032360.Zm00001eb153450.Zm00001eb056050.Zm00001eb017830.Zm00001eb086160.Zm00001eb056280	cellular process.biological_process.cellular anatomical structure.cellular_component
C0	Zm00001eb258470	Known	vesicle transport along microtubule.microtubule.microtubule cytoskeleton organization.ATP binding.sepal formation.plus-end-directed microtubule motor activity.regulation of flower development.kinesin complex.phragmoplast.membrane.petal formation.microtubule binding.regulatory ncRNA-mediated heterochromatin formation.DNA methylation-dependent constitutive heterochromatin formation.Unknown.cytokinesis by cell plate formation
C0	Zm00001eb037290	Known	protein dimerization activity.sequence-specific DNA binding.regulation of DNA-templated transcription.response to chemical.nucleus.DNA-templated transcription.positive regulation of biological process.cellular response to stimulus.response to stress.DNA-binding transcription factor activity
C0	Zm00001eb363950	Known	transport.protein modification process.zinc ion binding.protein-cysteine S-palmitoyltransferase activity.membrane.Unknown.Unknown.lipoprotein metabolic process
C0	Zm00001eb412110	Zm00001eb422790.Zm00001eb370180	
C0	Zm00001eb086360	Zm00001eb318590.Zm00001eb073370.Zm00001eb163790.Zm00001eb109970.Zm00001eb119340	organelle organization.cytoskeleton organization.anatomical structure formation involved in morphogenesis.regulation of cell cycle G2/M phase transition.regulation of G2/M transition of mitotic cell cycle.regulation of mitotic cell cycle phase transition.cell cycle process.cellular component organization.cellular component organization or biogenesis.regulation of cell cycle phase transition
C0	Zm00001eb062070	Known	Unknown.transport.GTP metabolic process.anatomical structure formation involved in morphogenesis.guanosine-containing compound catabolic process.mitochondrion organization.tube development.response to abscisic acid.embryo development.purine ribonucleotide catabolic process.small GTPase-mediated signal transduction.GTPase activity.GTP binding.pollen tube growth.calcium ion binding.cellular homeostasis.purine ribonucleoside triphosphate catabolic process
C0	Zm00001eb353790	Zm00001eb245710.Zm00001eb236510.Zm00001eb063140.Zm00001eb105690.Zm00001eb429190.Zm00001eb083820.Zm00001eb238060.Zm00001eb215340.Zm00001eb352410	regulation of protein modification process.regulation of transferase activity.intracellular organelle.organelle.regulation of protein metabolic process.cell cycle process.nucleobase-containing compound metabolic process.cell population proliferation.regulation of catalytic activity.negative regulation of cellular process
C0	Zm00001eb119430	Known	negative regulation of cellular process.transmembrane transport.programmed cell death.cell differentiation.membrane.regulation of DNA-templated transcription.positive regulation of macromolecule metabolic process.intracellular monoatomic ion homeostasis.DNA-templated transcription.signal transduction.negative regulation of metabolic process.animal organ development.positive regulation of cellular process.Unknown.plasma membrane
C0	Zm00001eb193590	Zm00001eb388260.Zm00001eb403400.Zm00001eb275770.Zm00001eb399910.Zm00001eb403860.Zm00001eb209450.Zm00001eb170390	cell wall.external encapsulating structure.cellular process.biological_process.cellular anatomical structure.cellular_component.calcium-dependent phospholipid binding.molecular_function.catalytic activity.plasmodesma
C0	Zm00001eb190180	Zm00001eb178490.Zm00001eb285380.Zm00001eb275040.Zm00001eb021400.Zm00001eb059050.Zm00001eb019390.Zm00001eb338270.Zm00001eb135460	biological regulation.primary metabolic process.metabolic process.multicellular organismal process.cellular process.biological_process.molecular_function.catalytic activity.macromolecule metabolic process.regulation of biological process
C0	Zm00001eb059240	Known	anatomical structure formation involved in morphogenesis.tube development.calcium-mediated signaling.ATP binding.G protein-coupled receptor kinase activity.membrane.cell surface receptor signaling pathway.regulation of unidimensional cell growth.transmembrane receptor protein serine/threonine kinase activity.abscisic acid-activated signaling pathway.protein autophosphorylation.root development.animal organ development.seed germination.pollen tube growth.plasma membrane.plant-type cell wall modification.metabolic process
C0	Zm00001eb179120	Known	epidermal cell differentiation.apoplast.protein autophosphorylation.cell adhesion.post-translational protein modification.anatomical structure formation involved in morphogenesis.cell wall organization.cytokinesis.ATP binding.phragmoplast.actin nucleation.2-alkenal reductase [NAD(P)H] activity.membrane.MAP kinase kinase kinase activity.root hair cell differentiation.trichome morphogenesis.response to oxidative stress.MAPK cascade.Unknown.cytoskeleton.Unknown.animal organ development.cortical microtubule organization.flower development
C0	Zm00001eb083570	Zm00001eb253720.Zm00001eb318590.Zm00001eb067270.Zm00001eb136460.Zm00001eb035030	
C0	Zm00001eb275770	Known	establishment of localization in cell.regulation of meristem growth.plasmodesma.lyase activity.metabolic process.membrane.regulation of cellular process.cellular process.calcium-dependent phospholipid binding.regulation of multicellular organismal development.transferase activity.cell wall.vesicle-mediated transport.endoplasmic reticulum.signaling.animal organ development.calcium ion binding.peroxidase activity
C0	Zm00001eb068400	Known	plasmodesma.apoplast.plant-type cell wall cellulose metabolic process.lysosome.water transport.endoplasmic reticulum.multicellular organismal process.response to cadmium ion.cysteine-type endopeptidase activity.developmental process.response to salt stress.Golgi organization.cellular response to hydrogen peroxide.binding.defense response to fungus.membrane.chlorophyll catabolic process.cell wall pectin metabolic process.extracellular space.response to temperature stimulus.proteolysis involved in protein catabolic process.cytosol.hydrogen peroxide catabolic process.chloroplast.biological regulation.hyperosmotic response
C0	Zm00001eb226030	Known	extracellular region.proteolysis.jasmonic acid biosynthetic process.endoplasmic reticulum lumen.membrane.response to wounding.Unknown.auxin metabolic process.metallopeptidase activity.regulation of systemic acquired resistance.response to jasmonic acid.jasmonyl-Ile conjugate hydrolase activity.plasma membrane.IAA-Ala conjugate hydrolase activity.response to fungus
C0	Zm00001eb416420	Zm00001eb016040.Zm00001eb351990.Zm00001eb068440.Zm00001eb127090.Zm00001eb176980.Zm00001eb350340.Zm00001eb209880.Zm00001eb006530	regulation of cellular process.macromolecule metabolic process.regulation of biological process.biological regulation.primary metabolic process.metabolic process.cellular anatomical structure.cellular_component.ATP binding.adenyl ribonucleotide binding
C0	Zm00001eb277040	Zm00001eb095930.Zm00001eb241730.Zm00001eb040070.Zm00001eb011070	
C0	Zm00001eb295530	Zm00001eb138150.Zm00001eb153450	
C0	Zm00001eb255090	Zm00001eb334440.Zm00001eb007140.Zm00001eb280500	
C0	Zm00001eb110930	Known	actin binding.nuclear membrane.regulation of cellular process.multicellular organismal process.vacuolar membrane.actin filament.kinase activity.Unknown.phosphorylation.nucleobase-containing compound metabolic process
C0	Zm00001eb052220	Known	tubulin complex assembly.transport.microtubule cytoskeleton organization.small GTPase-mediated signal transduction.GTPase activity.embryo sac cellularization.animal organ development.GTP binding.Golgi apparatus.establishment of localization in cell.embryo development ending in seed dormancy.endosperm development
C0	Zm00001eb285770	Known	proteasome-mediated ubiquitin-dependent protein catabolic process.zinc ion binding.regulation of biological process.membrane.ubiquitin protein ligase activity.response to stimulus
C0	Zm00001eb141360	Zm00001eb396410.Zm00001eb188030.Zm00001eb420500.Zm00001eb291710.Zm00001eb064460.Zm00001eb216890	nucleotide binding.nucleoside phosphate binding.heterocyclic compound binding.cell cycle.mitotic M phase.meiotic cell cycle process.regulation of cell cycle phase transition.cell cycle process.signal transduction in response to DNA damage.mitotic cell cycle phase
C0	Zm00001eb284910	Known	DNA-binding transcription factor activity, RNA polymerase II-specific.transcription cis-regulatory region binding.Unknown.sequence-specific DNA binding.membrane.regulation of transcription by RNA polymerase II.cell differentiation.chromatin binding.response to stimulus.nucleus.DNA-templated transcription
C0	Zm00001eb126560	Known	Unknown.negative regulation of cellular process.microtubule cytoskeleton organization.methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione.cell population proliferation.cytosol.sepal formation.nucleic acid metabolic process.regulation of metabolic process.hydroxyacylglutathione hydrolase activity.petal formation.gene expression.hydrolase activity, hydrolyzing O-glycosyl compounds.carbohydrate metabolic process.nucleus.cytokinesis by cell plate formation.DNA damage response.Unknown
C0	Zm00001eb040070	Known	response to UV-B.DNA-binding transcription factor activity, RNA polymerase II-specific.transcription cis-regulatory region binding.Unknown.sequence-specific DNA binding.cell differentiation.regulation of transcription by RNA polymerase II.regulation of phenylpropanoid metabolic process.chromatin binding.nucleus.DNA-templated transcription.response to jasmonic acid.negative regulation of DNA-templated transcription.response to salicylic acid
C0	Zm00001eb367430	Zm00001eb163790.Zm00001eb271240.Zm00001eb218110.Zm00001eb079910	
C0	Zm00001eb166770	Zm00001eb151510.Zm00001eb032990.Zm00001eb121990	
C0	Zm00001eb072560	Known	DNA replication, Okazaki fragment processing.DNA damage response.Unknown.ATP binding.membrane.regulation of cellular process.purine ribonucleotide catabolic process.meristem maintenance.DNA helicase activity.purine ribonucleoside catabolic process.5'-flap endonuclease activity.nucleus.DNA binding.purine ribonucleoside triphosphate catabolic process.single-stranded DNA helicase activity.ATP metabolic process
C0	Zm00001eb062920	Known	secondary active transmembrane transporter activity.plasmodesma.transmembrane transport.membrane.transmembrane transporter activity.carboxylic acid transport.vacuole.cell wall.primary metabolic process.cellular process.plasma membrane
C0	Zm00001eb001940	Known	response to ethylene.galactolipid biosynthetic process.protein phosphorylation.post-translational protein modification.response to cold.plasma membrane.response to cytokinin.cellular response to phosphate starvation.ATP binding.response to wounding.cellular response to potassium ion starvation.nucleus.response to salt stress.response to nutrient.plastid.membrane.abscisic acid-activated signaling pathway.protein serine/threonine kinase activity.potassium ion import across plasma membrane.regulation of potassium ion transport.cytokinesis by cell plate formation.cytosol.calcium-mediated signaling.stomatal movement.cellular response to water deprivation.response to mannitol
C0	Zm00001eb176310	Known	brassinosteroid biosynthetic process.apicoplast.acetyl-CoA metabolic process.fatty acid biosynthetic process.response to salt stress.ketone metabolic process.calcium ion transport.membrane.copper ion binding.Golgi organization.alcohol biosynthetic process.fatty acid synthase complex.enoyl-[acyl-carrier-protein] reductase (NADH) activity.chloroplast envelope.chloroplast stroma.sterol biosynthetic process.Unknown.enoyl-[acyl-carrier-protein] reductase [NAD(P)H] activity.thylakoid
C0	Zm00001eb293860	Known	zinc ion binding.sequence-specific DNA binding.nucleus.animal organ development.transcription by RNA polymerase II.DNA-binding transcription factor activity.positive regulation of DNA-templated transcription
C0	Zm00001eb168830	Zm00001eb050870.Zm00001eb089660.Zm00001eb068400.Zm00001eb334200.Zm00001eb016800.Zm00001eb218140.Zm00001eb424850	cellular process.biological_process.cellular anatomical structure.cellular_component.membrane.molecular_function.macromolecule metabolic process.biological regulation.signal transduction.phosphate-containing compound metabolic process
C0	Zm00001eb374600	Zm00001eb318590.Zm00001eb209450.Zm00001eb092850.Zm00001eb280500.Zm00001eb420850	
C0	Zm00001eb056120	Known	multicellular organism development.protein dephosphorylation.transport.regulation of cellular process.Unknown.nucleus.cellular component organization.mRNA binding
C0	Zm00001eb385800	Zm00001eb137730.Zm00001eb217780.Zm00001eb019600.Zm00001eb365730.Zm00001eb389230.Zm00001eb015080	primary metabolic process.metabolic process.cellular process.biological_process.molecular_function
C0	Zm00001eb333450	Known	endosperm cellularization.microtubule.spindle.plasmodesma.ATP binding.metabolic process.radial microtubular system formation.phragmoplast.protein phosphorylation.signal transduction.microtubule binding.protein serine/threonine kinase activity.actomyosin structure organization.phragmoplast assembly.post-translational protein modification.plasma membrane.preprophase band.microsporogenesis
C0	Zm00001eb409980	Zm00001eb272550.Zm00001eb272150.Zm00001eb126430.Zm00001eb190310.Zm00001eb255380.Zm00001eb061630.Zm00001eb102580	metabolic process.cellular process.biological_process.molecular_function.regulation of biological process.biological regulation.protein dimerization activity
C0	Zm00001eb187460	Known	regulation of defense response.ubiquitin-protein transferase activity.zinc ion binding.multicellular organismal process.regulation of cellular process.protein ubiquitination.response to stimulus.nucleus
C0	Zm00001eb335070	Known	extracellular region.nucleic acid binding.membrane.regulation of biological process.Unknown.T/G mismatch-specific endonuclease activity.response to stimulus.single-stranded DNA endodeoxyribonuclease activity.DNA catabolic process.metabolic process
C0	Zm00001eb237640	Zm00001eb182660.Zm00001eb003070.Zm00001eb054210.Zm00001eb016460.Zm00001eb192460.Zm00001eb156040	monoatomic ion transport.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.regulation of cellular process.regulation of multicellular organismal process.intracellular organelle.organelle
C0	Zm00001eb057750	Known	intracellular membrane-bounded organelle.quercetin 7-O-glucosyltransferase activity.response to stimulus.primary metabolic process.Unknown.quercetin 3-O-glucosyltransferase activity
C0	Zm00001eb005030	Known	Unknown.carbohydrate binding.apoplast.localization.hydrolase activity, hydrolyzing O-glycosyl compounds.response to stimulus.vacuole.cell wall.carbohydrate metabolic process.beta-galactosidase complex.cellular process
C0	Zm00001eb019710	Zm00001eb301720.Zm00001eb050870.Zm00001eb095930.Zm00001eb016800.Zm00001eb241730	circadian rhythm.rhythmic process.protein phosphorylation
C0	Zm00001eb379440	Known	regulation of hormone levels.epidermal cell differentiation.plasmodesma.apoplast.cellulose metabolic process.Unknown.oxidoreductase activity.anatomical structure formation involved in morphogenesis.plant-type cell wall.root hair elongation.cell wall organization.anthocyanin accumulation in tissues in response to UV light.copper ion binding.membrane.vacuolar membrane.polysaccharide biosynthetic process.multidimensional cell growth.cell tip growth.Unknown.animal organ development
C0	Zm00001eb030800	Zm00001eb122920.Zm00001eb135450.Zm00001eb420850.Zm00001eb285380.Zm00001eb226490.Zm00001eb265540	anatomical structure development.developmental process.catalytic activity.multicellular organismal process.cellular process.biological_process.plasma membrane.cellular anatomical structure.cellular_component.molecular_function
C0	Zm00001eb003140	Known	transport.exocyst.catabolic process.zinc ion binding.DNA repair.transferase activity.nucleus.endoplasmic reticulum.macromolecule modification.membrane
C0	Zm00001eb265390	Zm00001eb209450.Zm00001eb407050.Zm00001eb288380	
C0	Zm00001eb137500	Known	nucleosome assembly.nucleosome.biosynthetic process.regulation of biological process.gene expression.nucleus.DNA binding.protein heterodimerization activity.DNA metabolic process.metabolic process
C0	Zm00001eb419800	Known	proteasome-mediated ubiquitin-dependent protein catabolic process.negative regulation of transcription by RNA polymerase II.Unknown.DNA-templated transcription.response to estrogen.histone binding.transcription repressor complex.multicellular organismal process.Notch signaling pathway.canonical Wnt signaling pathway.fat cell differentiation.chromatin binding.Unknown.transcription regulator complex.beta-catenin binding.transcription corepressor activity.response to steroid hormone.sensory perception of sound.histone acetyltransferase activity.positive regulation of transcription by RNA polymerase II.chromosome organization.Unknown.Unknown.transcription cis-regulatory region binding.spindle microtubule.histone deacetylase complex
C0	Zm00001eb144800	Zm00001eb122560.Zm00001eb078560.Zm00001eb150450.Zm00001eb410030.Zm00001eb272010.Zm00001eb139790.Zm00001eb429190.Zm00001eb425710	regulation of protein modification process.regulation of transferase activity.regulation of protein metabolic process.cell division.cellular anatomical structure.cellular_component.molecular_function.regulation of catalytic activity.protein kinase binding.regulation of molecular function
C0	Zm00001eb293450	Known	intracellular membrane-bounded organelle.Unknown.membrane.response to chemical.anthocyanin-containing compound biosynthetic process.phenylpropanoid biosynthetic process.primary metabolic process.hexosyltransferase activity.UDP-glycosyltransferase activity
C0	Zm00001eb006570	Known	cytosol.plasmodesma.regulation of cellular process.negative regulation of biological process.biosynthetic process.nucleic acid metabolic process.regulation of biological quality.nucleus.histone binding.enzyme inhibitor activity.histone deacetylase binding.plasma membrane.Unknown
C0	Zm00001eb037700	Zm00001eb137000.Zm00001eb028400.Zm00001eb216890.Zm00001eb334100.Zm00001eb428040.Zm00001eb259380.Zm00001eb271240.Zm00001eb321260	DNA metabolic process.chromatin remodeling.chromatin organization.nucleobase-containing compound metabolic process.nucleic acid metabolic process.protein-containing complex.DNA binding.biological regulation.primary metabolic process.metabolic process
C0	Zm00001eb251580	Known	intracellular anatomical structure.transport.multicellular organismal process.small GTPase-mediated signal transduction.GTP binding.cellular component organization.establishment of localization in cell.N-terminal protein myristoylation
C0	Zm00001eb386220	Known	transport.red, far-red light phototransduction.chloroplast-nucleus signaling pathway.response to stress.cellular response to UV-C.regulation of meristem growth.heme binding.regulation of biological quality.phenylpropanoid biosynthetic process.carotenoid biosynthetic process.positive regulation of cellular process.flavonoid biosynthetic process.membrane.regulation of multicellular organismal development.photosynthesis.photoperiodism, flowering.heme oxidation.cell surface receptor signaling pathway.regulation of biosynthetic process.response to chemical.chloroplast.inflorescence development.animal organ development.heme oxygenase (decyclizing) activity.phytochromobilin biosynthetic process
C0	Zm00001eb371000	Known	intracellular signal transduction.respiratory burst involved in defense response.response to ethylene.positive gravitropism.regulation of DNA-templated transcription.DNA-templated transcription.Golgi vesicle transport.response to jasmonic acid.response to water deprivation.response to auxin.sequence-specific DNA binding.nucleus.response to chitin.hyperosmotic salinity response.cytoplasm.abscisic acid-activated signaling pathway.intracellular transport.toxin catabolic process.response to heat.post-embryonic animal morphogenesis.lateral root development.reproductive process.response to carbohydrate.fruit morphogenesis.DNA-binding transcription factor activity.Unknown
C0	Zm00001eb192280	Known	DNA replication origin binding.Unknown.ATP binding.cytoplasm.chromatin binding.DNA replication initiation.nucleus.DNA helicase activity.cell cycle.MCM complex.regulation of nucleobase-containing compound metabolic process.metabolic process
C0	Zm00001eb317570	Zm00001eb228510.Zm00001eb228520.Zm00001eb298140.Zm00001eb119430.Zm00001eb303760	signal transduction.defense response.intracellular signal transduction.response to other organism.biological process involved in interspecies interaction between organisms.response to external biotic stimulus.MAPK cascade.biological regulation.response to biotic stimulus.response to external stimulus
C0	Zm00001eb095930	Known	Unknown.riboflavin biosynthetic process.chlorophyll catabolic process.protein phosphorylation.cytoplasm.response to stimulus.nucleus.phosphatase activity
C0	Zm00001eb200300	Known	nucleic acid binding.zinc ion binding.reproductive process.sterol biosynthetic process.establishment of integrated proviral latency.endoplasmic reticulum.DNA recombination.DNA integration.plasma membrane.viral life cycle.demethylation
C0	Zm00001eb139110	Zm00001eb281360.Zm00001eb178490.Zm00001eb226490.Zm00001eb265660.Zm00001eb064790.Zm00001eb005030.Zm00001eb059050.Zm00001eb302950	cellular component biogenesis.cell wall biogenesis.carbohydrate metabolic process.plant-type cell wall biogenesis.metabolic process.polysaccharide metabolic process.cell wall organization.cellular process.external encapsulating structure organization.biological_process
C0	Zm00001eb134100	Zm00001eb253040.Zm00001eb253720.Zm00001eb054920.Zm00001eb273600.Zm00001eb321060.Zm00001eb301170.Zm00001eb382060.Zm00001eb395070	metabolic process.cellular process.biological_process.cellular component organization.cellular component organization or biogenesis.regulation of cell population proliferation.cellular anatomical structure.cellular_component.macromolecule metabolic process.regulation of macromolecule metabolic process
C0	Zm00001eb140550	Zm00001eb006530.Zm00001eb372940.Zm00001eb395520.Zm00001eb188370.Zm00001eb069640.Zm00001eb024290.Zm00001eb275770.Zm00001eb302950	metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.biological regulation.transferase activity.primary metabolic process.response to stimulus
C0	Zm00001eb176520	Zm00001eb122560.Zm00001eb150450.Zm00001eb316050.Zm00001eb105690.Zm00001eb253040.Zm00001eb352410	regulatory ncRNA-mediated gene silencing.cell cycle process.regulation of macromolecule metabolic process.cytokinesis by cell plate formation.heterochromatin formation.negative regulation of gene expression, epigenetic.regulation of metabolic process.cytokinesis.microtubule cytoskeleton organization.sepal formation
C0	Zm00001eb162020	Known	defense response.nucleic acid binding.RNA processing.nucleotide binding.regulation of biological process.ribonucleoprotein complex.leaf senescence.membrane.ethylene biosynthetic process.viral nucleocapsid.cell death.nucleolus
C0	Zm00001eb218810	Zm00001eb253720.Zm00001eb283880.Zm00001eb321060.Zm00001eb095620.Zm00001eb188180.Zm00001eb307250.Zm00001eb056300	cellular process.biological_process.cellular anatomical structure.cellular_component.regulation of protein modification process.regulation of transferase activity.regulation of protein metabolic process.cell division.regulation of catalytic activity.regulation of molecular function
C0	Zm00001eb228910	Known	amyloid precursor protein catabolic process.protein catabolic process.polysaccharide catabolic process.brassinosteroid biosynthetic process.male genitalia development.development of primary male sexual characteristics.glycoprotein catabolic process.endoplasmic reticulum.plasma membrane.plant-type cell wall organization.membrane organization.anatomical structure formation involved in morphogenesis.flavin adenine dinucleotide binding.UDP-N-acetylmuramate dehydrogenase activity.regulation of meristem growth.starch metabolic process.root hair elongation.acetyl-CoA metabolic process.nucleus.cholesterol metabolic process.peptide antigen binding.anthocyanin accumulation in tissues in response to UV light.anther development.epidermis development.cysteine biosynthetic process.lignin metabolic process.apoptotic process.alcohol biosynthetic process.membrane.vacuolar membrane.polysaccharide biosynthetic process.skin development.Unknown.multidimensional cell growth.plant-type secondary cell wall biogenesis.response to oxidative stress.plasminogen activation.cell tip growth.calmodulin binding.Delta24(24-1) sterol reductase activity.sterol biosynthetic process.Unknown
C0	Zm00001eb219660	Zm00001eb107290.Zm00001eb289020.Zm00001eb209880.Zm00001eb125150.Zm00001eb069640.Zm00001eb094040	macromolecule metabolic process.glucan metabolic process.biological regulation.primary metabolic process.metabolic process.small molecule metabolic process.biosynthetic process.polysaccharide metabolic process.cellular anatomical structure.cellular_component
C0	Zm00001eb159570	Zm00001eb178490.Zm00001eb275040.Zm00001eb152920.Zm00001eb066330.Zm00001eb326590.Zm00001eb000970.Zm00001eb281360.Zm00001eb420010.Zm00001eb275820	metabolic process.cellular process.biological_process.primary metabolic process.molecular_function.macromolecule metabolic process.biological regulation.membrane
C0	Zm00001eb005040	Zm00001eb005030.Zm00001eb167780.Zm00001eb395520.Zm00001eb016040.Zm00001eb170390.Zm00001eb403400.Zm00001eb265660.Zm00001eb302950	catalytic activity.metabolic process.response to stimulus.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.extracellular region.binding
C0	Zm00001eb210660	Known	nucleosome assembly.nucleosome.biosynthetic process.heterochromatin formation.DNA binding.protein heterodimerization activity.metabolic process.response to stress.DNA metabolic process.nucleolus
C0	Zm00001eb269130	Known	positive regulation of transcription by RNA polymerase II.organelle organization.methylation.transcription initiation at RNA polymerase II promoter.DNA binding.transcription elongation by RNA polymerase II.methyltransferase activity.nucleoplasm.membrane.thylakoid
C0	Zm00001eb370670	Known	extracellular region.binding.regulation of cellular process.membrane.regulation of metabolic process.defense response to bacterium.Unknown.DNA metabolic process.cell cycle.DNA damage response.isomerase activity
C0	Zm00001eb074410	Known	actin binding.nucleic acid binding.xylem development.zinc ion binding.regulation of DNA-templated transcription.embryo sac egg cell differentiation.viral life cycle.nucleus.actin filament depolymerization.actin cytoskeleton.DNA recombination
C0	Zm00001eb406180	Zm00001eb093500.Zm00001eb010460.Zm00001eb280690.Zm00001eb181150	
C0	Zm00001eb157940	Zm00001eb157950.Zm00001eb314790.Zm00001eb328900.Zm00001eb100410.Zm00001eb340080.Zm00001eb247810	asymmetric cell division.DNA-templated transcription.RNA biosynthetic process.nucleic acid biosynthetic process.regulation of RNA metabolic process.response to heat.nucleobase-containing compound biosynthetic process.DNA-binding transcription factor activity.transcription regulator activity.response to stimulus
C0	Zm00001eb272150	Known	regulation of DNA-templated transcription.protein dimerization activity.Unknown.DNA-templated transcription.nucleus
