Community	Target(unknown)	Annotated	Functions
C4	Zm00001eb429760	Known	urea transmembrane transport.chloroplast envelope.methylammonium transmembrane transport.urea transmembrane transporter activity.protein storage vacuole.central vacuole.response to nitrate.response to salt stress.Golgi apparatus.glucuronoxylan metabolic process.plasmodesma.plasma membrane.Golgi organization.pollen tube.intracellular monoatomic cation homeostasis.mitochondrion.xylan biosynthetic process.water channel activity.plant-type cell wall.plant-type vacuole membrane.calcium ion transport.methylammonium transmembrane transporter activity.iron ion transport.nitrate transmembrane transport.water transport.cellular response to iron ion starvation
C4	Zm00001eb248550	Known	regulation of hormone levels.cell tip growth.anthocyanin accumulation in tissues in response to UV light.membrane fusion.epidermal cell differentiation.actin cytoskeleton.cell wall organization.zinc ion binding.actin filament binding.multidimensional cell growth.anatomical structure formation involved in morphogenesis.actin filament bundle assembly.cytoplasm.animal organ development.root hair elongation.regulation of cellular process
C4	Zm00001eb074420	Known	actin filament depolymerization.actin binding.multicellular organism development.actin cytoskeleton.response to stress.regulation of biological process
C4	Zm00001eb242010	Known	primary metabolic process.plasma membrane.epidermal cell differentiation.phospholipid transport.root hair cell tip growth.membrane.flower development.Unknown.lateral root development.phosphatidylinositol transfer activity.anatomical structure formation involved in morphogenesis.intracellular anatomical structure.Unknown.binding
C4	Zm00001eb068930	Zm00001eb190570.Zm00001eb242010.Zm00001eb105010.Zm00001eb203460.Zm00001eb229700	metabolic process.membrane.binding.biological_process.cellular process.cellular anatomical structure.cellular_component.molecular_function.plasma membrane.primary metabolic process
C4	Zm00001eb229700	Known	protein phosphorylation.xylem and phloem pattern formation.Unknown.post-embryonic animal morphogenesis.determination of bilateral symmetry.metabolic process.meristem initiation.response to molecule of bacterial origin.regulation of meristem growth.membrane.stamen development.negative regulation of biological process.ATP binding.protein serine/threonine kinase activity.stomatal complex morphogenesis.Unknown.procambium histogenesis.polarity specification of adaxial/abaxial axis.cell differentiation.plasma membrane.animal organ morphogenesis.secondary shoot formation.signal transduction.regulation of multicellular organismal development.flower morphogenesis.xylem development
C4	Zm00001eb128710	Zm00001eb074420.Zm00001eb105010.Zm00001eb429760.Zm00001eb190570	organelle.intracellular organelle.biological_process.cellular process.cellular anatomical structure.cellular_component.molecular_function.macromolecule metabolic process.intracellular membrane-bounded organelle.membrane-bounded organelle
C4	Zm00001eb203460	Known	anatomical structure formation involved in morphogenesis.embryo development ending in seed dormancy.root hair cell development.positive regulation of GTPase activity.identical protein binding.nucleus.tube development.animal organ development.guanyl-nucleotide exchange factor activity.pollen tube.vernalization response.pollen tube growth.membrane fusion.epidermal cell differentiation.phosphorylation.GTPase regulator activity.plant-type cell wall modification.plasma membrane.regulation of metabolic process.cytoplasm
C4	Zm00001eb190570	Known	protein kinase activity.calcium ion binding.protein phosphorylation.regulation of biological process.nucleus.ATP binding.cytoplasm.plasma membrane.signaling.response to stimulus
C4	Zm00001eb351520	Zm00001eb105010.Zm00001eb242010.Zm00001eb190570.Zm00001eb074420.Zm00001eb248550.Zm00001eb203460	binding.biological_process.cellular process.cellular anatomical structure.cellular_component.molecular_function.anatomical structure development.multicellular organismal process.regulation of biological process.developmental process
C5	Zm00001eb237470	Known	anatomical structure formation involved in morphogenesis.embryo development ending in seed dormancy.root hair cell development.positive regulation of GTPase activity.nucleus.tube development.pollen tube.animal organ development.guanyl-nucleotide exchange factor activity.vernalization response.pollen tube growth.membrane fusion.epidermal cell differentiation.phosphorylation.GTPase regulator activity.plant-type cell wall modification.plasma membrane.regulation of metabolic process.cytoplasm
C5	Zm00001eb151560	Zm00001eb237470	developmental process involved in reproduction.response to cold.cell wall organization.multicellular organism development.positive regulation of GTPase activity.tube development.reproductive process.pollen tube growth.positive regulation of hydrolase activity.anatomical structure morphogenesis
C5	Zm00001eb249860	Known	response to oxidative stress.actin filament depolymerization.innate immune response-activating signaling pathway.actin binding.epidermal cell differentiation.mitochondrion.protein-containing complex.nucleus.actin filament.anatomical structure formation involved in morphogenesis.apoplast.trichoblast differentiation.chloroplast.animal organ development.defense response to bacterium.plasma membrane.response to cadmium ion
C5	Zm00001eb381620	Known	primary metabolic process.system development.membrane.Unknown.regulation of nucleobase-containing compound metabolic process.Unknown.macromolecule metabolic process.binding
C5	Zm00001eb329370	Zm00001eb237470.Zm00001eb062120	
C5	Zm00001eb189300	Zm00001eb381620	
C5	Zm00001eb134490	Zm00001eb249860.Zm00001eb237470.Zm00001eb062120	cellular component organization.cellular component organization or biogenesis.biological_process.cellular process.cellular_component.epithelial cell differentiation.epidermal cell differentiation.cell differentiation.cellular developmental process.animal organ development
C5	Zm00001eb062120	Known	Unknown.vesicle-mediated transport.intracellular protein transport.membrane coat.cellular component organization
C6	Zm00001eb290010		
C6	Zm00001eb290020		
