Community	Target(unknown)	Annotated	Functions
C0	Zm00001eb394190	Known	pyruvate dehydrogenase (acetyl-transferring) kinase activity.organic acid metabolic process.protein phosphorylation.mitochondrial matrix.histidine phosphotransfer kinase activity.carbohydrate metabolic process.signal transduction.binding.membrane
C0	Zm00001eb246810	Zm00001eb260820.Zm00001eb177480.Zm00001eb172070.Zm00001eb332610.Zm00001eb140160	primary metabolic process.small molecule metabolic process.metabolic process.organic acid biosynthetic process.carboxylic acid biosynthetic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function
C0	Zm00001eb356870	Zm00001eb111660.Zm00001eb227460.Zm00001eb144240.Zm00001eb410890	Golgi apparatus subcompartment.organelle subcompartment.cytosol.endosome.membrane.catalytic activity.macromolecule modification.transport.primary metabolic process.nucleoside diphosphate metabolic process
C0	Zm00001eb436760		
C0	Zm00001eb061460	Zm00001eb128010.Zm00001eb229430.Zm00001eb255240	
C0	Zm00001eb112590	Known	primary metabolic process.response to cadmium ion.response to endoplasmic reticulum stress.Golgi apparatus.protein disulfide isomerase activity.protein folding in endoplasmic reticulum.electron transfer activity.cell surface.response to salt stress.plasma membrane.response to heat.Unknown.protein-disulfide reductase activity.glycerol ether metabolic process.photoinhibition.systemic acquired resistance.cell redox homeostasis.chloroplast stroma.endoplasmic reticulum lumen.endosperm development.positive regulation of apoptotic process.Unknown.response to hydrogen peroxide.melanosome.vacuolar membrane.intramolecular oxidoreductase activity, interconverting keto- and enol-groups
C0	Zm00001eb338720	Zm00001eb043650.Zm00001eb241630.Zm00001eb074280	plasma membrane
C0	Zm00001eb435210		
C0	Zm00001eb129290	Known	response to chemical.protein dimerization activity.regulation of DNA-templated transcription.sequence-specific DNA binding.nucleus.metabolic process.DNA-binding transcription factor activity.DNA-templated transcription
C0	Zm00001eb002930	Zm00001eb194590.Zm00001eb257720.Zm00001eb375110.Zm00001eb133840	primary metabolic process.metabolic process.regulation of primary metabolic process.establishment of localization.cellular process.biological_process.protein targeting.localization.organelle membrane.cellular anatomical structure
C0	Zm00001eb079390	Zm00001eb334740.Zm00001eb153030	
C0	Zm00001eb423920	Known	chromoplast.mitochondrion.response to cold.cellular process.nucleus.chloroplast thylakoid membrane.response to abscisic acid.Unknown.structural molecule activity.2-alkenal reductase [NAD(P)H] activity.photoinhibition.plastoglobule.stromule.thylakoid lumen
C0	Zm00001eb300950	Zm00001eb084350.Zm00001eb325920.Zm00001eb394530.Zm00001eb079420.Zm00001eb079820	catalytic activity.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.intracellular organelle.organelle
C0	Zm00001eb419650	Zm00001eb380730	
C0	Zm00001eb042800	Zm00001eb172070.Zm00001eb325920.Zm00001eb079820.Zm00001eb031790.Zm00001eb202120	primary metabolic process.metabolic process.cellular process.biological_process.plastid membrane.cellular anatomical structure.cellular_component.mitochondrion.catalytic activity.molecular_function
C0	Zm00001eb414570	Zm00001eb287080.Zm00001eb058790	plastid membrane organization.thylakoid membrane organization.isopentenyl diphosphate biosynthetic process.isopentenyl diphosphate metabolic process.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway.glyceraldehyde-3-phosphate metabolic process.membrane organization.aldehyde metabolic process.plastid thylakoid membrane.chloroplast thylakoid membrane
C0	Zm00001eb404040	Zm00001eb107660.Zm00001eb014120.Zm00001eb038010	
C0	Zm00001eb004350	Zm00001eb025140.Zm00001eb038930	
C0	Zm00001eb128010	Known	heat shock protein binding.vegetative to reproductive phase transition of meristem.oxidoreductase activity.vesicle.trichome morphogenesis.protein desumoylation.response to stimulus.nucleoplasm.chloroplast.membrane.Unknown.hydrogen peroxide biosynthetic process.cell wall organization.Unknown.root hair cell differentiation.cell adhesion.actin nucleation
C0	Zm00001eb255370	Zm00001eb216160	
C0	Zm00001eb056430	Zm00001eb056340.Zm00001eb172070.Zm00001eb260820.Zm00001eb393560.Zm00001eb072030	plastid envelope.chloroplast envelope.organelle envelope.catalytic activity.primary metabolic process.metabolic process.cellular process.plastid stroma.chloroplast stroma.cellular anatomical structure
C0	Zm00001eb359730	Known	nucleotide binding.D-ribose metabolic process.nucleus.chloroplast stroma.biosynthetic process.nucleoside metabolic process.ribokinase activity.carbohydrate phosphorylation.plastid nucleoid
C0	Zm00001eb002830	Known	protein dimerization activity.regulation of DNA-templated transcription.nucleus.Unknown.DNA-templated transcription.membrane
C0	Zm00001eb364940	Known	response to chemical.post-translational protein modification.protein-containing complex assembly.localization.peptidase activity.response to stress.anatomical structure morphogenesis.proteolysis.signal transduction.system development.actin filament organization.membrane
C0	Zm00001eb286220	Known	primary metabolic process.protein localization to organelle.regulation of biological process.protein transport.cellular process.mRNA transport.macromolecule metabolic process.biosynthetic process.GTPase activator activity.pore complex.small GTPase binding.nuclear pore.nucleocytoplasmic transport
C0	Zm00001eb285880	Zm00001eb296460.Zm00001eb388080.Zm00001eb014120	cellular component organization.cellular component organization or biogenesis.cell growth
C0	Zm00001eb323500	Zm00001eb001180.Zm00001eb166980.Zm00001eb208500.Zm00001eb002560	nucleobase-containing compound metabolic process.macromolecule metabolic process.chloroplast.plastid.catalytic activity, acting on RNA.catalytic activity.photosystem II assembly.primary metabolic process.RNA modification.metabolic process
C0	Zm00001eb039160		
C0	Zm00001eb389570	Known	abscisic acid-activated signaling pathway.regulation of DNA-templated transcription.cellular response to nitric oxide.signal transduction.vernalization response.anthocyanin accumulation in tissues in response to UV light.ethylene-activated signaling pathway.response to salt stress.plasma membrane.root development.cytokinin-activated signaling pathway.response to water deprivation.carpel development.Unknown.regulation of shoot system development.Unknown.regulation of chlorophyll catabolic process.cellular response to hydrogen peroxide.vacuole.phosphorelay response regulator activity.regulation of seed germination.negative regulation of abscisic acid-activated signaling pathway.leaf senescence.phosphorelay sensor kinase activity.Unknown.defense response to bacterium.ATP binding.osmosensor activity.regulation of stomatal closure.negative regulation of ethylene-activated signaling pathway.cellular response to molecule of bacterial origin
C0	Zm00001eb119480	Zm00001eb353810.Zm00001eb032820.Zm00001eb364620.Zm00001eb255710	galactolipid metabolic process.galactolipid biosynthetic process.glycolipid biosynthetic process.lipid biosynthetic process.membrane lipid biosynthetic process.glycolipid metabolic process.liposaccharide metabolic process.membrane lipid metabolic process.response to decreased oxygen levels.response to hypoxia
C0	Zm00001eb031790	Known	methylation.2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity.membrane.glucosinolate biosynthetic process.viral envelope.phosphatidylglycerol biosynthetic process.chloroplast inner membrane.vitamin E biosynthetic process.plastoquinone biosynthetic process.binding.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
C0	Zm00001eb258190	Zm00001eb259480.Zm00001eb394520.Zm00001eb249160.Zm00001eb257720.Zm00001eb375110.Zm00001eb193650.Zm00001eb120920	macromolecule metabolic process.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.RNA metabolic process.multicellular organism development
C0	Zm00001eb067290	Zm00001eb237390.Zm00001eb177450.Zm00001eb184240.Zm00001eb407610.Zm00001eb260560.Zm00001eb128010.Zm00001eb376750.Zm00001eb411260	primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.catalytic activity.response to stimulus.membrane
C0	Zm00001eb175560	Zm00001eb403050.Zm00001eb210720.Zm00001eb196360.Zm00001eb235880	protein-containing complex assembly.protein-containing complex organization.cellular component assembly.fatty acid beta-oxidation.fatty acid oxidation.lipid modification.lipid oxidation.response to topologically incorrect protein.proteasome assembly.response to misfolded protein
C0	Zm00001eb441000		
C0	Zm00001eb141180	Zm00001eb141160.Zm00001eb279090.Zm00001eb314060.Zm00001eb123060	proximal/distal pattern formation.regionalization.macromolecule metabolic process.pattern specification process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function
C0	Zm00001eb101820	Zm00001eb400710.Zm00001eb063940.Zm00001eb315140	
C0	Zm00001eb234660	Zm00001eb009960.Zm00001eb372410.Zm00001eb045300.Zm00001eb216780.Zm00001eb362700.Zm00001eb060340	membrane.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.transition metal ion binding.molecular_function.protein ubiquitination.protein modification process
C0	Zm00001eb068170	Known	polysaccharide binding.multicellular organism development.plasma membrane.cell surface receptor signaling pathway.metabolic process.protein serine/threonine kinase activity.ATP binding.protein phosphorylation.calcium ion binding.membrane
C0	Zm00001eb386150	Zm00001eb215400.Zm00001eb109110	
C0	Zm00001eb085110	Zm00001eb372410.Zm00001eb295820.Zm00001eb088940.Zm00001eb205500	ion binding.small molecule binding.protein-containing complex.membrane.binding.cellular process.cellular component organization.biological_process.cellular component organization or biogenesis.intracellular protein-containing complex
C0	Zm00001eb393380	Zm00001eb400710.Zm00001eb315140.Zm00001eb400040.Zm00001eb194590	
C0	Zm00001eb021830	Known	positive regulation of nucleobase-containing compound metabolic process.regulation of DNA-templated transcription.response to stimulus.chloroplast.DNA-templated transcription.negative regulation of cellular process.membrane.animal organ development
C0	Zm00001eb192900	Zm00001eb376670.Zm00001eb205500.Zm00001eb362020.Zm00001eb235880.Zm00001eb268750.Zm00001eb196650.Zm00001eb206250	cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.response to stimulus.catalytic activity.protein-containing complex.primary metabolic process.positive regulation of protein-containing complex assembly
C0	Zm00001eb431810	Zm00001eb207550.Zm00001eb172070.Zm00001eb079420.Zm00001eb393560.Zm00001eb287770.Zm00001eb364620.Zm00001eb332610	biosynthetic process.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.transferase activity.catalytic activity
C0	Zm00001eb430130	Known	response to chemical.Unknown.regulation of DNA-templated transcription.sequence-specific DNA binding.cellular process.metabolic process.response to biotic stimulus.defense response.DNA-binding transcription factor activity
C0	Zm00001eb317520	Zm00001eb317510.Zm00001eb204410.Zm00001eb079420.Zm00001eb134710.Zm00001eb260820	catalytic activity.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.small molecule binding.molecular_function.mRNA modification.monoatomic cation transmembrane transport
C0	Zm00001eb113400	Known	endoplasmic reticulum.RNA metabolic process.strictosidine synthase activity.cellular component organization.Unknown.Unknown.negative regulation of cellular process.membrane
C0	Zm00001eb038230	Zm00001eb004030.Zm00001eb403050.Zm00001eb162410.Zm00001eb224640	protein deneddylation.mitotic G2 phase.G2 phase.mitotic cell cycle.photomorphogenesis.protein modification by small protein removal.cell cycle phase.cell cycle.biological phase.response to red or far red light
C0	Zm00001eb369190	Known	response to chemical.transcription cis-regulatory region binding.regulation of transcription by RNA polymerase II.sequence-specific DNA binding.chromatin binding.nucleus.cell differentiation.flower development.DNA-templated transcription.DNA-binding transcription factor activity, RNA polymerase II-specific.Unknown
C0	Zm00001eb118350	Zm00001eb094890.Zm00001eb237230.Zm00001eb237220	carbon-sulfur lyase activity.lactoylglutathione lyase activity.ketone catabolic process.methylglyoxal catabolic process.methylglyoxal catabolic process to lactate.methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione.aldehyde catabolic process.methylglyoxal metabolic process.cellular detoxification of methylglyoxal.cellular detoxification of aldehyde
C0	Zm00001eb366310	Known	membrane.neutral L-amino acid transmembrane transporter activity.active transmembrane transporter activity.aspartate transmembrane transport.plasma membrane.amino acid transmembrane transport.amine transmembrane transporter activity.tryptophan transport.amino acid import.L-arginine transmembrane transport.neutral amino acid transport.basic amino acid transmembrane transporter activity.amine transport.acidic amino acid transmembrane transporter activity.response to nematode
C0	Zm00001eb441950		
C0	Zm00001eb274690	Known	red or far-red light signaling pathway.blue light signaling pathway.nucleus.zinc ion binding.cytoplasm.response to carbohydrate.regulation of flower development.response to chitin.DNA-binding transcription factor activity.negative regulation of DNA-templated transcription.DNA-templated transcription.photomorphogenesis
C0	Zm00001eb293290	Zm00001eb257630	
C0	Zm00001eb111000	Zm00001eb196650.Zm00001eb227460.Zm00001eb088940.Zm00001eb171440.Zm00001eb410890.Zm00001eb351000.Zm00001eb247500	nucleoside diphosphate metabolic process.purine ribonucleoside diphosphate metabolic process.ribonucleoside diphosphate metabolic process.purine nucleoside diphosphate metabolic process.cytosol.purine ribonucleotide metabolic process.primary metabolic process.tricarboxylic acid cycle.ribonucleotide metabolic process.ribose phosphate metabolic process
C0	Zm00001eb002560	Known	membrane.starch biosynthetic process.glucosinolate biosynthetic process.cell redox homeostasis.maltose metabolic process.photosystem II assembly.Unknown.intramolecular oxidoreductase activity.vitamin-K-epoxide reductase (warfarin-sensitive) activity.chloroplast.pentose-phosphate shunt.NAD(P)H dehydrogenase (quinone) activity.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
C0	Zm00001eb437290		
C0	Zm00001eb065920	Zm00001eb084350.Zm00001eb209360.Zm00001eb052650	
C0	Zm00001eb265080	Zm00001eb260820.Zm00001eb058790.Zm00001eb312390.Zm00001eb151750	plastid thylakoid membrane.chloroplast thylakoid membrane.photosynthetic membrane.thylakoid membrane.outer membrane.organelle outer membrane.protein-containing complex assembly.protein-containing complex organization.plastid membrane.nucleobase-containing compound metabolic process
C0	Zm00001eb105910	Zm00001eb210730.Zm00001eb287770.Zm00001eb109110.Zm00001eb079420.Zm00001eb393560.Zm00001eb151640.Zm00001eb353810	catalytic activity.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.biosynthetic process.macromolecule metabolic process.primary metabolic process
C0	Zm00001eb114440		
C0	Zm00001eb274160		
C0	Zm00001eb295820	Known	anatomical structure development.purine ribonucleotide catabolic process.biological regulation.cellular component organization.chloroplast.GTPase activity.nucleolus.purine ribonucleoside triphosphate catabolic process.GTP metabolic process.guanosine-containing compound catabolic process.multicellular organismal process.membrane.GTP binding
C0	Zm00001eb436750	Zm00001eb435650	
C0	Zm00001eb039180		
C0	Zm00001eb063940	Known	RNA splicing.regulation of DNA-templated transcription.double-stranded DNA binding.rRNA binding.chloroplast.developmental process.membrane.ribosome assembly.single-stranded RNA binding.Unknown
C0	Zm00001eb380730	Known	light-harvesting complex.DNA-templated transcription elongation.regulation of biological process.chlorophyll binding.oxidoreductase activity.photosystem II.response to other organism.Unknown.chloroplast thylakoid membrane.photosystem II assembly.plastoglobule.Unknown.iron ion binding.defense response.photosynthetic electron transport in photosystem II.response to herbicide.membrane
C0	Zm00001eb138250	Known	salicylic acid mediated signaling pathway.primary metabolic process.quercetin 7-O-glucosyltransferase activity.dhurrin biosynthetic process.regulation of plant-type hypersensitive response.glucuronosyltransferase activity.trans-zeatin O-beta-D-glucosyltransferase activity.protein targeting to membrane.proline transport.endoplasmic reticulum unfolded protein response.organelle membrane.quercetin 3-O-glucosyltransferase activity.jasmonic acid mediated signaling pathway.flavonol 3-O-glucosyltransferase activity.endoplasmic reticulum membrane.ER-nucleus signaling pathway.cis-zeatin O-beta-D-glucosyltransferase activity.membrane
C0	Zm00001eb185800	Known	rRNA processing.negative regulation of catalytic activity.anatomical structure formation involved in morphogenesis.positive regulation of catalytic activity.animal organ morphogenesis.leaf morphogenesis.response to cytokinin.thylakoid membrane organization.electron transfer activity.positive regulation of DNA-templated transcription.glycerol ether metabolic process.cell differentiation.cellular response to oxidative stress.protein-disulfide reductase activity.thioredoxin-disulfide reductase (NADPH) activity.response to cold.protein-disulfide reductase [NAD(P)H] activity.electron transport chain.glucose catabolic process.cell redox homeostasis.chloroplast thylakoid membrane.chloroplast stroma.maltose metabolic process.enzyme activator activity.indoleacetic acid biosynthetic process.stromule.regulation of carbohydrate metabolic process.photorespiration.starch biosynthetic process.cell wall.chloroplast envelope.enzyme inhibitor activity.L-tryptophan catabolic process.NADPH regeneration.defense response to bacterium.photosystem II assembly.protein domain specific binding.oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor.pentose-phosphate shunt.apoplast
C0	Zm00001eb215400	Known	proton-transporting ATP synthase activity, rotational mechanism.proton motive force-driven ATP synthesis.plastid.regulation of cellular process.transaminase activity.binding.membrane
C0	Zm00001eb298180	Known	intracellular transport.endoplasmic reticulum.Golgi vesicle transport.cellulose biosynthetic process.membrane
C0	Zm00001eb199530	Known	response to chemical.establishment of cell polarity.regulation of DNA-templated transcription.sequence-specific DNA binding.nucleus.Unknown.response to stress.longitudinal axis specification.DNA-binding transcription factor activity.membrane
C0	Zm00001eb119410	Known	PSII associated light-harvesting complex II catabolic process.plastid membrane.chloroplast thylakoid membrane.Unknown.chlorophyll(ide) b reductase activity.chlorophyll catabolic process.membrane
C0	Zm00001eb196970	Known	transporter activity.multicellular organism development.plasma membrane.regulation of cellular process.xylan biosynthetic process.transmembrane transport.glucuronoxylan metabolic process.membrane
C0	Zm00001eb312390	Known	membrane.intracellular monoatomic cation homeostasis.metal ion transport.chloroplast thylakoid membrane.NADPH regeneration.NAD(P)H dehydrogenase complex (plastoquinone).photosynthetic electron transport in photosystem I.oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor.pentose-phosphate shunt.glucose catabolic process.NADH dehydrogenase complex (plastoquinone) assembly
C0	Zm00001eb330460	Known	photosystem II.chloroplast thylakoid membrane.regulation of cellular process.photosynthesis.transport.membrane
C0	Zm00001eb374000	Known	ubiquinone biosynthetic process.electron transfer activity.primary metabolic process.mitochondrion.pollen tube development.reproductive process.2 iron, 2 sulfur cluster binding.iron-sulfur cluster assembly.tube development.Unknown.heme A biosynthetic process.oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor
C0	Zm00001eb177450	Known	response to chemical.cytosol.sucrose metabolic process.sucrose synthase activity.biological regulation.plasma membrane.biosynthetic process.sucrose-phosphate synthase activity.response to stress.glycoside metabolic process.plasmodesma.Unknown.glutamine N-phenylacetyltransferase activity
C0	Zm00001eb434990		
C0	Zm00001eb057490	Known	response to chemical.phosphorelay sensor kinase activity.regulation of DNA-templated transcription.detection of visible light.cell surface receptor signaling pathway.red, far-red light phototransduction.signal transduction.protein-tetrapyrrole linkage.G protein-coupled photoreceptor activity.membrane.protein homodimerization activity.G protein-coupled receptor signaling pathway.Unknown.phosphorelay signal transduction system.DNA-templated transcription.intracellular anatomical structure
C0	Zm00001eb256600	Zm00001eb100140.Zm00001eb173960.Zm00001eb193650.Zm00001eb259480	RNA metabolic process.nucleic acid metabolic process.nucleobase-containing compound metabolic process.regulation of cellular process.regulation of biological process.macromolecule metabolic process.biological regulation.binding.metal ion binding.cation binding
C0	Zm00001eb400430	Zm00001eb193650.Zm00001eb375110.Zm00001eb052650	
C0	Zm00001eb260560	Known	post-translational protein modification.plasma membrane.signaling.response to stimulus.metabolic process.protein serine/threonine kinase activity.regulation of cellular process.ATP binding.protein phosphorylation.membrane
C0	Zm00001eb341450	Zm00001eb190190.Zm00001eb191540.Zm00001eb079820	
C0	Zm00001eb289310	Known	Unknown.mitochondrial inner membrane.starch biosynthetic process.chloroplast relocation.purine ribonucleotide catabolic process.biological regulation.GTP binding.plastid.ribosome biogenesis.GTP metabolic process.maltose metabolic process.purine ribonucleoside triphosphate catabolic process.phosphatidylglycerol biosynthetic process.GTPase activity.guanosine-containing compound catabolic process.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway.thylakoid membrane organization
C0	Zm00001eb437160	Zm00001eb353810	
C0	Zm00001eb351240	Zm00001eb269050.Zm00001eb206250.Zm00001eb268090.Zm00001eb205500.Zm00001eb088940	membrane.nitrogen compound transport.cellular process.biological_process.cellular anatomical structure.cellular_component.ion binding.small molecule binding.molecular_function.positive regulation of biological process
C0	Zm00001eb128490	Zm00001eb177480.Zm00001eb352790.Zm00001eb181370.Zm00001eb079420.Zm00001eb064540	nucleic acid metabolic process.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.nucleobase-containing compound metabolic process.chloroplast.response to hydrogen peroxide
C0	Zm00001eb192260	Zm00001eb069220.Zm00001eb075050.Zm00001eb397150.Zm00001eb097330.Zm00001eb082160.Zm00001eb190510	membrane-bounded organelle.intracellular membrane-bounded organelle.intracellular organelle.organelle.cellular process.cytoplasmic vesicle.intracellular vesicle.cellular anatomical structure.vesicle.cellular_component
C0	Zm00001eb117910	Zm00001eb006670.Zm00001eb347490.Zm00001eb006610.Zm00001eb216160	macromolecule metabolic process.protein ubiquitination.sulfur amino acid biosynthetic process.sulfur amino acid metabolic process.protein modification by small protein conjugation.primary metabolic process.metabolic process.alpha-amino acid biosynthetic process.cellular process.protein modification by small protein conjugation or removal
C0	Zm00001eb003580	Zm00001eb006610.Zm00001eb230230.Zm00001eb401490.Zm00001eb206250.Zm00001eb194260.Zm00001eb388080	membrane.cellular process.biological_process.cellular anatomical structure.cellular_component.biosynthetic process.response to stimulus.anatomical structure formation involved in morphogenesis.developmental maturation.defense response
C0	Zm00001eb298170	Zm00001eb023090.Zm00001eb303810.Zm00001eb006670.Zm00001eb391600.Zm00001eb347490.Zm00001eb074280	cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.response to stimulus.membrane.xylan metabolic process.cell wall polysaccharide biosynthetic process.glucuronoxylan metabolic process
C0	Zm00001eb020330	Known	chloroplast envelope.mitochondrion.protein processing.biological regulation.response to heat.chloroplast stroma.response to high light intensity.chloroplast organization.metabolic process.ATP binding.ribonucleoside triphosphate phosphatase activity.protein folding.response to hydrogen peroxide.protein metabolic process.Unknown
