name	full_name	type	species	synonyms
zmm8	Zea mays MADS8	Gene	Zea mays ssp. mays	{"IDP223","IDP549","IDP7680","koln4(zmm8)","MADS5","mpik28","mpik28a(zmm8)","mpik28(zmm8)","PHM18887","pzb00221","PZB00221","PZB00222","PZD00055","rs128282605","rs128282610","rs55624775","rs55624780 ","ss196417269","ss196417271","zmm14","zmm8","ZmMADS8"}
zmRPD3	 	Gene candidate	Zea mays ssp. mays	{"zmRPD3"}
013154	 	Chromosomal Segment	Zea mays ssp. mays	{"Zm013154"}
A0A1D6H658	 	Gene	Zea mays ssp. mays	{"ZmPRX41","ZmPRX60"}
A0A1D6JQ00	 	Gene	Zea mays ssp. mays	{"ZmLEA2","ZmLEA3-4","ZmLEA3-5"}
A0A1D6PF37	 	Gene	Zea mays ssp. mays	{"ZmDRE1"}
a1	anthocyaninless1	Gene	Zea mays ssp. mays	{"ZmDFR1"}
a4	anthocyaninless4	Gene	Zea mays ssp. mays	{"ZmDFR2"}
aaa1	adenosylmethionine aminotransferase1	Gene	Zea mays ssp. mays	{"ZmGABA-T"}
aaap14	amino acid/auxin permease14	Gene	Zea mays ssp. mays	{"ZmAAP10","ZmAAP2"}
aaap15	amino acid/auxin permease15	Gene	Zea mays ssp. mays	{"ZmLHT14"}
aaap17	amino acid/auxin permease17	Gene	Zea mays ssp. mays	{"ZmAAP18"}
aaap18	amino acid/auxin permease18	Gene	Zea mays ssp. mays	{"ZmAAP22"}
aaap19	amino acid/auxin permease19	Gene	Zea mays ssp. mays	{"ZmAAP23"}
aaap21	amino acid/auxin permease21	Gene	Zea mays ssp. mays	{"ZmAAP2","ZmAAP4"}
aaap22	amino acid/auxin permease22	Gene	Zea mays ssp. mays	{"ZmAAP21"}
aaap29	amino acid/auxin permease29	Gene	Zea mays ssp. mays	{"ZmAAP14"}
aaap33	amino acid/auxin permease33	Gene	Zea mays ssp. mays	{"ZmAAP9"}
aaap36	amino acid/auxin permease36	Gene	Zea mays ssp. mays	{"ZmAAP19"}
aaap38	amino acid/auxin permease38	Gene	Zea mays ssp. mays	{"ZmVAAT3"}
aaap46	amino acid/auxin permease46	Gene	Zea mays ssp. mays	{"ZmAAP11","ZmAAP6"}
aaap52	amino acid/auxin permease52	Gene	Zea mays ssp. mays	{"ZmAAP7"}
aaap54	amino acid/auxin permease54	Gene	Zea mays ssp. mays	{"ZmAAP1"}
aaap55	amino acid/auxin permease55	Gene	Zea mays ssp. mays	{"ZmAAP15","ZmAAP6"}
aaap56	amino acid/auxin permease56	Gene	Zea mays ssp. mays	{"ZmAAP20","ZmAAP6"}
aaap57	amino acid/auxin permease57	Gene	Zea mays ssp. mays	{"ZmAVT6"}
aaap59	amino acid/auxin permease59	Gene	Zea mays ssp. mays	{"ZmAAP8"}
aaap6	amino acid/auxin permease6	Gene	Zea mays ssp. mays	{"ZmAAP16"}
aaap60	amino acid/auxin permease60	Gene	Zea mays ssp. mays	{"ZmAAP6"}
aaap64	amino acid/auxin permease64	Gene	Zea mays ssp. mays	{"ZmAAP3"}
aaap65	amino acid/auxin permease65	Gene	Zea mays ssp. mays	{"ZmAAP4"}
aaap66	amino acid/auxin permease66	Gene	Zea mays ssp. mays	{"ZmAAP5"}
aaap67	amino acid/auxin permease67	Gene	Zea mays ssp. mays	{"ZmAAP17"}
aaap69	amino acid/auxin permease69	Gene	Zea mays ssp. mays	{"ZmAAP13"}
aaap72	amino acid/auxin permease72	Gene	Zea mays ssp. mays	{"ZmAAP24"}
aaap9	amino acid/auxin permease9	Gene	Zea mays ssp. mays	{"ZmAAP12"}
aas1	auxin amido synthetase1	Gene	Zea mays ssp. mays	{"ZmGH3.1"}
aas10	auxin amido synthetase10	Gene	Zea mays ssp. mays	{"ZmGH3.10","ZmJAR2a"}
aas11	auxin amido synthetase11	Gene	Zea mays ssp. mays	{"ZmGH3.11"}
aas12	auxin amido synthetase12	Gene	Zea mays ssp. mays	{"ZmGH3.12"}
aas13	auxin amido synthetase13	Gene	Zea mays ssp. mays	{"ZmGH3.13","ZmJAR1a"}
aas2	auxin amido synthetase2	Gene	Zea mays ssp. mays	{"ZmGH3","ZmGH3.2"}
aas3	auxin amido synthetase3	Gene	Zea mays ssp. mays	{"ZmGH3.13","ZmGH3.17","ZmGH3.3"}
aas4	auxin amido synthetase4	Gene	Zea mays ssp. mays	{"ZmGH3.4","ZmJAR2c"}
aas5	auxin amido synthetase5	Gene	Zea mays ssp. mays	{"ZmGH3.5","ZmJAR1b; ZmJAR2b"}
aas6	auxin amido synthetase6	Gene	Zea mays ssp. mays	{"ZmGH3","ZmGH3.6"}
aas7	auxin amido synthetase7	Gene	Zea mays ssp. mays	{"ZmGH3.7"}
aas8	auxin amido synthetase8	Gene	Zea mays ssp. mays	{"ZmGH3.8"}
aas9	auxin amido synthetase9	Gene	Zea mays ssp. mays	{"ZmGH3.9"}
aasr1	abscisic acid stress ripening1	Gene	Zea mays ssp. mays	{"zm-asr1","ZmAsr1"}
aasr2	abscisic acid stress ripening2	Gene	Zea mays ssp. mays	{"ZmASR2"}
aasr3	abscisic acid stress ripening3	Gene	Zea mays ssp. mays	{"ZmASR3"}
aasr5	abscisic acid stress ripening5	Gene	Zea mays ssp. mays	{"ZmASR5"}
aasr6	abscisic acid stress ripening6	Gene	Zea mays ssp. mays	{"ZmASR6"}
aasr7	abscisic acid stress ripening7	Gene	Zea mays ssp. mays	{"ZmASR7","ZmASR7-1"}
aasr8	abscisic acid stress ripening8	Gene	Zea mays ssp. mays	{"ZmASR7-2","ZmASR8"}
aasr9	abscisic acid stress ripening9	Gene	Zea mays ssp. mays	{"ZmASR7-3","ZmASR9"}
aatr1	amino acid transporter1	Gene	Zea mays ssp. mays	{"ZmAAAP13"}
AB512482	 	Gene	Zea mays ssp. mays	{"long sterile lemma ortholog (ZmG1)"}
abcg1	ABC transporter G family member 1	Gene	Zea mays ssp. mays	{"ZmABCG1"}
abh1	abscisic acid 8'-hydroxylase1	Gene	Zea mays ssp. mays	{"ZmABA1","ZmCYP707A1"}
abh2	abscisic acid 8'-hydroxylase2	Gene	Zea mays ssp. mays	{"ZmAhb2"}
abh5	abscisic acid 8'-hydroxylase5	Gene	Zea mays ssp. mays	{"ZmCYP707A"}
abi10	ABI3-VP1-transcription factor 10	Gene	Zea mays ssp. mays	{"ZmABI10","ZmARF40"}
abi11	ABI3-VP1-transcription factor 11	Gene	Zea mays ssp. mays	{"ZmABI11"}
abi12	ABI3-VP1-transcription factor 12	Gene	Zea mays ssp. mays	{"ZmABI12","ZmRAVL1; Upright Plant Architecture2 (UPA2)"}
abi13	ABI3-VP1-transcription factor 13	Gene	Zea mays ssp. mays	{"ZmABI13"}
abi14	ABI3-VP1-transcription factor 14	Gene	Zea mays ssp. mays	{"ZmABI14"}
abi15	ABI3-VP1-transcription factor 15	Gene	Zea mays ssp. mays	{"ZmABI15","ZmARF15"}
abi16	ABI3-VP1-transcription factor 16	Gene	Zea mays ssp. mays	{"ZmABI16"}
abi17	ABI3-VP1-transcription factor 17	Gene	Zea mays ssp. mays	{"ZmARF1-2","ZmARF16","ZmARF39","ZmARF6","ZmARF9"}
abi18	ABI3-VP1-transcription factor 18	Gene	Zea mays ssp. mays	{"ZmABI18"}
abi19	ABI3-VP1-transcription factor 19	Gene	Zea mays ssp. mays	{"ZmABI19","ZmAFL2"}
abi2	ABI3-VP1-transcription factor 2	Gene	Zea mays ssp. mays	{"ZmABI2"}
abi20	ABI3-VP1-transcription factor 20	Gene	Zea mays ssp. mays	{"ZmABI20"}
abi21	ABI3-VP1-transcription factor 21	Gene	Zea mays ssp. mays	{"ZmABI21"}
abi22	ABI3-VP1-transcription factor 22	Gene	Zea mays ssp. mays	{"ZmABI22","ZmAFL1"}
abi23	ABI3-VP1-transcription factor 23	Gene	Zea mays ssp. mays	{"ZmABI23"}
abi24	ABI3-VP1-transcription factor 24	Gene	Zea mays ssp. mays	{"ZmABI24"}
abi25	ABI3-VP1-transcription factor 25	Gene	Zea mays ssp. mays	{"ZmABI25"}
abi26	ABI3-VP1-transcription factor 26	Gene	Zea mays ssp. mays	{"ZmABI26"}
abi27	ABI3-VP1-transcription factor 27	Gene	Zea mays ssp. mays	{"ZmABI27"}
abi28	ABI3-VP1-transcription factor 28	Gene	Zea mays ssp. mays	{"ZmABI28"}
abi29	ABI3-VP1-transcription factor 29	Gene	Zea mays ssp. mays	{"ZmABI29"}
abi3	ABI3-VP1-transcription factor 3	Gene	Zea mays ssp. mays	{"ZmAFL4"}
abi31	ABI3-VP1-transcription factor 31	Gene	Zea mays ssp. mays	{"ZmABI31"}
abi32	ABI3-VP1-transcription factor 32	Gene	Zea mays ssp. mays	{"ZmABI32"}
abi33	ABI3-VP1-transcription factor 33	Gene	Zea mays ssp. mays	{"ZmEREB232"}
abi34	ABI3-VP1-transcription factor 34	Gene	Zea mays ssp. mays	{"ZmABI34"}
abi35	ABI3-VP1-transcription factor 35	Gene	Zea mays ssp. mays	{"ZmABI35"}
abi36	ABI3-VP1-transcription factor 36	Gene	Zea mays ssp. mays	{"ZmABI36"}
abi37	ABI3-VP1-transcription factor 37	Gene	Zea mays ssp. mays	{"ZmABI37"}
abi38	ABI3-VP1-transcription factor 38	Gene	Zea mays ssp. mays	{"ZmABI38"}
abi39	ABI3-VP1-transcription factor 39	Gene	Zea mays ssp. mays	{"ZmABI39"}
abi40	ABI3-VP1-transcription factor 40	Gene	Zea mays ssp. mays	{"ZmABI40"}
abi41	ABI3-VP1-transcription factor 41	Gene	Zea mays ssp. mays	{"ZmABI41"}
abi42	ABI3-VP1-transcription factor 42	Gene	Zea mays ssp. mays	{"ZmABI42"}
abi43	ABI3-VP1-transcription factor 43	Gene	Zea mays ssp. mays	{"ZmABI43"}
abi44	ABI3-VP1-transcription factor 44	Gene	Zea mays ssp. mays	{"ZmABI44"}
abi45	ABI3-VP1-transcription factor 45	Gene	Zea mays ssp. mays	{"ZmABI45"}
abi46	ABI3-VP1-transcription factor 46	Gene	Zea mays ssp. mays	{"ZmABI46"}
abi47	ABI3-VP1-transcription factor 47	Gene	Zea mays ssp. mays	{"ZmABI47","ZmAFL6"}
abi48	ABI3-VP1-transcription factor 48	Gene	Zea mays ssp. mays	{"ZmABI48"}
abi49	ABI3-VP1-transcription factor 49	Gene	Zea mays ssp. mays	{"ZmABI49","ZmAFL5"}
abi50	ABI3-VP1-transcription factor 50	Gene	Zea mays ssp. mays	{"ZmABI50"}
abi51	ABI3-VP1-transcription factor 51	Gene	Zea mays ssp. mays	{"ZmABI51"}
abi52	ABI3-VP1-transcription factor 52	Gene	Zea mays ssp. mays	{"ZmABI52"}
abi53	ABI3-VP1-transcription factor 53	Gene	Zea mays ssp. mays	{"ZmABI53"}
abi54	ABI3-VP1-transcription factor 54	Gene	Zea mays ssp. mays	{"ZmABI54"}
abi55	ABI3-VP1-transcription factor 55	Gene	Zea mays ssp. mays	{"ZmABI55"}
abi56	ABI3-VP1-transcription factor 5	Gene	Zea mays ssp. mays	{"ZmABI56"}
abi57	ABI3-VP1-transcription factor 57	Gene	Zea mays ssp. mays	{"ZmABI57"}
abi58	ABI3-VP1-transcription factor 58	Gene	Zea mays ssp. mays	{"ZmABI58"}
abi59	ABI3-VP1-transcription factor 59	Gene	Zea mays ssp. mays	{"ZmABI59"}
abi6	ABI3-VP1-transcription factor 6	Gene	Zea mays ssp. mays	{"ZmABI6"}
abi60	ABI3-VP1-transcription factor 60	Gene Family	Zea mays ssp. mays	{"ZmABI60"}
abi61	ABI3-VP1-transcription factor 61	Gene	Zea mays ssp. mays	{"ZmABI61"}
abi7	ABI3-VP1-transcription factor 7	Gene	Zea mays ssp. mays	{"ZmABI7"}
abi8	ABI3-VP1-transcription factor 8	Gene	Zea mays ssp. mays	{"ZmABI8"}
abi9	ABI3-VP1-transcription factor 9	Gene	Zea mays ssp. mays	{"ZmABI9"}
abp1	auxin binding protein1	Gene	Zea mays ssp. mays	{"ZmABP1"}
abp4	auxin binding protein homolog4	Gene	Zea mays ssp. mays	{"Zm-ERabp4"}
abph1	aberrant phyllotaxy1	Gene	Zea mays ssp. mays	{"ZmOrphan266","ZmRR3"}
abre1	ABA-responsive cis-element binding protein1	Gene	Zea mays ssp. mays	{"ZmbZIP134"}
AC199517.4_FG001	 	Gene	Zea mays ssp. mays	{"ZmMED26_2"}
AC199517.4_FG006	 	Gene	Zea mays ssp. mays	{"ZmMED26_3"}
AC205154.3_FGT005	 	Gene	Zea mays ssp. mays	{"ZmPRX41"}
AC206350.3_FG005	 	Gene	Zea mays ssp. mays	{"ZmDIR18"}
AC208341.4_FGT007	 	Gene	Zea mays ssp. mays	{"ZmPRX88"}
AC211164.5_FGT004	 	Gene	Zea mays ssp. mays	{"ZmPRX17"}
AC218932.3_FG009	 	Gene	Zea mays ssp. mays	{"ZmMED26_4"}
AC230013.2_FGT002	 	Gene	Zea mays ssp. mays	{"ZmPRX19","ZmPRX31"}
AC233785.2_FG005	 	Gene	Zea mays ssp. mays	{"ZmMED26_8"}
AC233952.1_FG008	 	Gene	Zea mays ssp. mays	{"ZmC2H2-45"}
AC234190.1_FG001	 	Gene	Zea mays ssp. mays	{"ZmEXPA23"}
acb10	Acyl-CoA-binding protein10	Gene	Zea mays ssp. mays	{"Zm00008a034534"}
acb7	Acyl-CoA-binding protein7	Gene	Zea mays ssp. mays	{"Zm00008a005731"}
acc1	acetyl-coenzyme A carboxylase1	Gene	Zea mays ssp. mays	{"ZmACC2"}
acc2	acetyl-CoA carboxylase2	Gene	Zea mays ssp. mays	{"ZmACC1"}
acco1	1-aminocyclopropane-1-carboxylate oxidase1	Gene	Zea mays ssp. mays	{"ZmACOA"}
acco15	1-aminocyclopropane-1-carboxylate oxidase15	Gene	Zea mays ssp. mays	{"ZmACO15"}
acco2	1-aminocyclopropane-1-carboxylate oxidase2	Gene	Zea mays ssp. mays	{"ZmACO2","ZmACOB"}
acco20	1-aminocyclopropane-1-carboxylate oxidase20	Gene	Zea mays ssp. mays	{"ZmACO20"}
acco3	1-aminocyclopropane-1-carboxylate oxidase3	Gene	Zea mays ssp. mays	{"ZmACOC"}
acco31	1-aminocyclopropane-1-carboxylate oxidase31	Gene	Zea mays ssp. mays	{"ZmACO31"}
acco35	1-aminocyclopropane-1-carboxylate oxidase35	Gene	Zea mays ssp. mays	{"ZmACO35"}
acco4	1-aminocyclopropane-1-carboxylate oxidase4	Gene	Zea mays ssp. mays	{"ZmACOD"}
acco5	1-aminocyclopropane-1-carboxylate oxidase5	Gene	Zea mays ssp. mays	{"ZmACO5"}
acp1	acid phosphatase1	Gene	Zea mays ssp. mays	{"ZmPAP26"}
acr1	ACT domain repeat1	Gene	Zea mays ssp. mays	{"ZmACR1"}
acr10	ACT domain repeat10	Gene	Zea mays ssp. mays	{"ZmACR10"}
acr11	ACT domain repeat11	Gene	Zea mays ssp. mays	{"ZmACR11"}
acr13	ACT domain repeat13	Gene	Zea mays ssp. mays	{"ZmACR13"}
acr14	ACT domain repeat14	Gene	Zea mays ssp. mays	{"ZmACR14"}
acr17	ACT domain repeat17	Gene	Zea mays ssp. mays	{"ZmACR17"}
acr18	ACT domain repeat18	Gene	Zea mays ssp. mays	{"ZmACR18"}
acr19	ACT domain repeat19	Gene	Zea mays ssp. mays	{"ZmACR19"}
acr2	ACT domain repeat2	Gene	Zea mays ssp. mays	{"ZmACR2"}
acr20	ACT domain repeat20	Gene	Zea mays ssp. mays	{"ZmACR20"}
acr21	ACT domain repeat21	Gene	Zea mays ssp. mays	{"ZmACR21"}
acr22	ACT domain repeat22	Gene	Zea mays ssp. mays	{"ZmACR22"}
acr23	ACT domain repeat23	Gene	Zea mays ssp. mays	{"ZmACR23"}
acr24	ACT domain repeat24	Gene	Zea mays ssp. mays	{"ZmACR24"}
acr25	ACT domain repeat25	Gene	Zea mays ssp. mays	{"ZmACR25"}
acr26	ACT domain repeat26	Gene	Zea mays ssp. mays	{"ZmACR26"}
acr27	ACT domain repeat27	Gene	Zea mays ssp. mays	{"ZmACR27"}
acr3	ACT domain repeat3	Gene	Zea mays ssp. mays	{"ZmACR3"}
acr4	ACT domain repeat4	Gene	Zea mays ssp. mays	{"ZmACR4"}
acr5	ACT domain repeat5	Gene	Zea mays ssp. mays	{"ZmACR5"}
acr6	ACT domain repeat6	Gene	Zea mays ssp. mays	{"ZmACR6"}
acr9	ACT domain repeat9	Gene	Zea mays ssp. mays	{"ZmACR9"}
acs1	1-aminocyclopropane-1-carboxylate synthase1	Gene	Zea mays ssp. mays	{"ZmACSA"}
acs2	1-aminocyclopropane-1-carboxylate synthase2	Gene	Zea mays ssp. mays	{"ZmACS2","ZmACS7"}
acs3	1-aminocyclopropane-1-carboxylate synthase3	Gene	Zea mays ssp. mays	{"ZmACSB"}
acs6	1-aminocyclopropane-1-carboxylate synthase6	Gene	Zea mays ssp. mays	{"ZmAcs6","ZmACS6"}
acs7	1-aminocyclopropane-1-carboxylate synthase7	Gene	Zea mays ssp. mays	{"ZmACS2","ZmAcs7"}
acsn1	acyl-CoA synthetase1	Gene	Zea mays ssp. mays	{"ZmLACS10","ZmLACS9.1"}
acsn2	acyl-CoA synthetase2	Gene	Zea mays ssp. mays	{"Zm4CL11","Zm4CL-like9","ZmACOS5-1"}
acsn3	acyl-CoA synthetase3	Gene	Zea mays ssp. mays	{"Zm4CL13","ZmACOS5-2"}
act1	actin1	Gene	Zea mays ssp. mays	{"Zm18s","Zm&#946;-Actin"}
act10	actin10	Gene	Zea mays ssp. mays	{"ZmActin","ZmActin2"}
act5	actin5	Gene	Zea mays ssp. mays	{"ZmACTINE1"}
acx1	acyl-coenzyme A oxidase1	Gene	Zea mays ssp. mays	{"ZmACX1"}
acx2	acyl-coenzyme A oxidase2	Gene	Zea mays ssp. mays	{"ZmACX2"}
acx3	acyl-coenzyme A oxidase3	Gene	Zea mays ssp. mays	{"ZmACX3"}
acx4	acyl-coenzyme A oxidase4	Gene	Zea mays ssp. mays	{"ZmACX4"}
acx5	acyl-coenzyme A oxidase5	Gene	Zea mays ssp. mays	{"ZmACX5"}
acx6	acyl-coenzyme A oxidase6	Gene	Zea mays ssp. mays	{"ZmACX6"}
ad1	adherent1	Gene	Zea mays ssp. mays	{"ZmKCS19","ZmKCS19/AD1","ZmKCS23","ZmKCS7"}
adf1	actin depolymerizing factor1	Gene	Zea mays ssp. mays	{"ZmABP1","ZmADF1"}
adf10	actin depolymerizing factor10	Gene	Zea mays ssp. mays	{"ZmADF3-3"}
adf11	actin depolymerizing factor11	Gene	Zea mays ssp. mays	{"ZmADFn-1"}
adf12	actin depolymerizing factor12	Gene	Zea mays ssp. mays	{"ZmADFn-3"}
adf13	actin depolymerizing factor13	Gene	Zea mays ssp. mays	{"ZmADFn-5"}
adf14	actin depolymerizing factor14	Gene	Zea mays ssp. mays	{"ZmADF3-1"}
adf15	actin depolymerizing factor15	Gene	Zea mays ssp. mays	{"ZmADF15"}
adf16	actin depolymerizing factor16	Gene	Zea mays ssp. mays	{"ZmADFn-2"}
adf2	actin depolymerizing factor2	Gene	Zea mays ssp. mays	{"ZmABP2","ZmADF2-2"}
adf3	actin depolymerizing factor3	Gene	Zea mays ssp. mays	{"ZmABP3","ZmADF3","ZmADF3-2"}
adf4	Actin-depolymerizing factor 4	Gene	Zea mays ssp. mays	{"ZmADF4"}
adf5	actin depolymerizing factor5	Gene	Zea mays ssp. mays	{"ZmADF5-1"}
adf6	actin depolymerizing factor6	Gene	Zea mays ssp. mays	{"ZmADF6"}
adf7	actin depolymerizing factor7	Gene	Zea mays ssp. mays	{"ZmADFn-4"}
adf8	actin depolymerizing factor8	Gene	Zea mays ssp. mays	{"ZmADF5-2"}
adf9	actin depolymerizing factor9	Gene	Zea mays ssp. mays	{"ZmADF2-1"}
adh1	alcohol dehydrogenase1	Gene	Zea mays ssp. mays	{"ZmIL1 (Internode length1)"}
adsk1	adenosine kinase1	Gene	Zea mays ssp. mays	{"ZmADK1"}
adsk2	adenosine kinase2	Gene	Zea mays ssp. mays	{"ZmADK2"}
adsk3	adenosine kinase3	Gene	Zea mays ssp. mays	{"ZmADK3"}
adss1	adenylosuccinate synthetase	Gene	Zea mays ssp. mays	{"ZmAdSS1 (yu18)"}
adt2	arogenate dehydratase2	Gene	Zea mays ssp. mays	{"ZmADT2"}
ae1	amylose extender1	Gene	Zea mays ssp. mays	{"ZmBEIIa"}
aed2	aspartyl protease2	Gene	Zea mays ssp. mays	{"ZmNHL24"}
aer1	alkenal reductase1	Gene	Zea mays ssp. mays	{"NADPH&#8208;dependent 2&#8208;alkenal reductase (ZmAER)"}
AF056157	 	Gene	Zea mays ssp. mays	{"Zm00001d003048","ZmRPS2"}
afb1	auxin signaling F-box1	Gene	Zea mays ssp. mays	{"ZmAFB","ZmAFB2/3 b2"}
afb2	auxin signaling F-box2	Gene	Zea mays ssp. mays	{"ZmAFB","ZmAFB2/3 b1"}
afp1	antifungal protein1	Gene	Zea mays ssp. mays	{"GFU(pZmL1032)"}
aga1	alkaline galactosidase1	Gene	Zea mays ssp. mays	{"ZmAGA1"}
aga2	alkaline galactosidase2	Gene	Zea mays ssp. mays	{"ZmAGA2"}
aga3	alkaline galactosidase3	Gene	Zea mays ssp. mays	{"ZmAGA3"}
aga4	alkaline galactosidase4	Gene	Zea mays ssp. mays	{"ZmRS3"}
aga5	alkaline galactosidase5	Gene	Zea mays ssp. mays	{"ZmRS7"}
aga6	alkaline galactosidase6	Gene	Zea mays ssp. mays	{"ZmRS7"}
ago1	argonaute1	Gene	Zea mays ssp. mays	{"ZmAGOI"}
ago101	argonaute101	Gene	Zea mays ssp. mays	{"ZmAGO101"}
ago104	argonaute104	Gene	Zea mays ssp. mays	{"ZmAGO104"}
ago106a	argonaute106a	Gene	Zea mays ssp. mays	{"ZmSPX2"}
ago108	argonaute108	Gene	Zea mays ssp. mays	{"ZmAGO108"}
ago10b	argonaute10b	Gene	Zea mays ssp. mays	{"ZmAGO10b"}
ago18a	argonaute18a	Gene	Zea mays ssp. mays	{"ZmAGO18a"}
ago18b	argonaute18b	Gene	Zea mays ssp. mays	{"ZmAGO18b"}
ago1a	argonaute1a	Gene	Zea mays ssp. mays	{"ZmAGO1a"}
ago1b	argonaute1b	Gene	Zea mays ssp. mays	{"ZmAGO1b"}
ago1c	argonaute1c	Gene	Zea mays ssp. mays	{"ZmAGO1c"}
ago1d	argonaute1d	Gene	Zea mays ssp. mays	{"ZmAGO1d","ZmAGO1f"}
ago2a	argonaute2a	Gene	Zea mays ssp. mays	{"ZmAGO2a"}
ago2b	argonaute2b	Gene	Zea mays ssp. mays	{"ZmAGO2b"}
ago4a	argonaute4a	Gene	Zea mays ssp. mays	{"ZmAGO4a"}
ago5b	argonaute5b	Gene	Zea mays ssp. mays	{"ZmAGO5b"}
ago6	argonaute6	Gene	Zea mays ssp. mays	{"ZmAGO6"}
agp1	ADP glucose pyrophosphorylase small subunit embryo 1	Gene	Zea mays ssp. mays	{"agpsemzm","ZmAGPS1"}
agp2	ADP glucose pyrophosphorylase2	Gene	Zea mays ssp. mays	{"agplemzm","ZmAGPL2"}
agpll1	ADP glucose pyrophosphorylase large subunit leaf1AGPL4	Gene	Zea mays ssp. mays	{"agpllzm","ZmagpL1","ZmAGPL4"}
agpsl1	ADP glucose pyrophosphorylase small subunit leaf1	Gene	Zea mays ssp. mays	{"agpslzm","Agpslzm1","ZmAGPS2b","ZmAPS1"}
ahl25	AT-hook motif nuclear-localized protein homolog25	Gene	Zea mays ssp. mays	{"ZmAHL25"}
AI770873	 	Gene	Zea mays ssp. mays	{"ZmRNS2"}
aic1	auxin import carrier1	Gene	Zea mays ssp. mays	{"Like Auxin-Resistant 2 (ZmLAX2)","ZmAAAP02","ZmAUX1","ZmAUXIN1","ZmLAX2"}
aic2	auxin import carrier2	Gene	Zea mays ssp. mays	{"Like Auxin-Resistant 2 (ZmLAX2)","ZmAAAP32","ZmLAX4"}
aic3	auxin import carrier3	Gene	Zea mays ssp. mays	{"like aux1 (ZmLAX1)","ZmAAAP01","ZmLAX3 (like AUXIN RESISTANT 3)"}
aic4	auxin import carrier4	Gene	Zea mays ssp. mays	{"ZmAAAP50","ZmAIC4","ZmLAX5","ZmLAX5 (like AUXIN RESISTANT 5)"}
