nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001eb004080	NA	turquoise
Zm00001eb004090	NA	red
Zm00001eb004100	NA	lightgreen
Zm00001eb004110	NA	lightgreen
Zm00001eb004120	NA	darkred
Zm00001eb004140	NA	red
Zm00001eb004150	NA	skyblue3
Zm00001eb004160	NA	darkgreen
Zm00001eb004170	NA	magenta
Zm00001eb004180	NA	maroon
Zm00001eb004190	NA	brown
Zm00001eb004200	NA	turquoise
Zm00001eb004210	NA	darkorange2
Zm00001eb004230	NA	black
Zm00001eb004240	NA	greenyellow
Zm00001eb004250	NA	tan
Zm00001eb004260	NA	lightgreen
Zm00001eb004280	NA	white
Zm00001eb004290	NA	red
Zm00001eb004300	NA	lightcyan
Zm00001eb004310	NA	greenyellow
Zm00001eb004320	NA	lightyellow
Zm00001eb004330	NA	lightyellow
Zm00001eb004340	NA	yellow
Zm00001eb004350	NA	green
Zm00001eb004360	NA	darkgrey
Zm00001eb004370	NA	red
Zm00001eb004380	NA	darkgreen
Zm00001eb004390	NA	darkgreen
Zm00001eb004400	NA	darkgreen
Zm00001eb004410	NA	violet
Zm00001eb004420	NA	red
Zm00001eb004430	NA	orangered4
Zm00001eb004440	NA	yellow
Zm00001eb004450	NA	turquoise
Zm00001eb004460	NA	turquoise
Zm00001eb004470	NA	red
Zm00001eb004480	NA	royalblue
Zm00001eb004490	NA	red
Zm00001eb004510	NA	magenta
Zm00001eb004530	NA	darkorange
Zm00001eb004540	NA	pink
Zm00001eb004550	NA	lightcyan
Zm00001eb004560	NA	blue
Zm00001eb004570	NA	coral1
Zm00001eb004590	NA	cyan
Zm00001eb004640	NA	paleturquoise
Zm00001eb004650	NA	pink
Zm00001eb004660	NA	yellow
Zm00001eb004670	NA	darkolivegreen
Zm00001eb004710	NA	blue
Zm00001eb004720	NA	tan
Zm00001eb004730	NA	tan
Zm00001eb004740	NA	magenta
Zm00001eb004750	NA	magenta
Zm00001eb004760	NA	skyblue2
Zm00001eb004770	NA	royalblue
Zm00001eb004780	NA	red
Zm00001eb004790	NA	greenyellow
Zm00001eb004810	NA	honeydew1
Zm00001eb004820	NA	lightgreen
Zm00001eb004830	NA	mediumorchid
Zm00001eb004840	NA	mediumorchid
Zm00001eb004850	NA	skyblue
Zm00001eb004860	NA	mediumorchid
Zm00001eb004890	NA	turquoise
Zm00001eb004900	NA	brown
Zm00001eb004920	NA	black
Zm00001eb004940	NA	red
Zm00001eb004950	NA	plum2
Zm00001eb004980	NA	turquoise
Zm00001eb004990	NA	greenyellow
Zm00001eb005000	NA	brown
Zm00001eb005010	NA	blue
Zm00001eb005020	NA	yellowgreen
Zm00001eb005030	NA	blue
Zm00001eb005040	NA	pink
Zm00001eb005060	NA	blue
Zm00001eb005070	NA	magenta
Zm00001eb005080	NA	turquoise
Zm00001eb005100	NA	black
Zm00001eb005110	NA	greenyellow
Zm00001eb005120	NA	darkslateblue
Zm00001eb005130	NA	pink
Zm00001eb005140	NA	darkgreen
Zm00001eb005150	NA	red
Zm00001eb005160	NA	turquoise
Zm00001eb005170	NA	turquoise
Zm00001eb005180	NA	turquoise
Zm00001eb005190	NA	green
Zm00001eb005200	NA	yellow4
Zm00001eb005210	NA	cyan
Zm00001eb005220	NA	ivory
Zm00001eb005230	NA	blue
Zm00001eb005240	NA	turquoise
Zm00001eb005250	NA	red
Zm00001eb005260	NA	turquoise
Zm00001eb005270	NA	brown
Zm00001eb005280	NA	brown
Zm00001eb005300	NA	turquoise
Zm00001eb005310	NA	blue
Zm00001eb005320	NA	ivory
Zm00001eb005330	NA	green
Zm00001eb005340	NA	turquoise
Zm00001eb005350	NA	darkslateblue
Zm00001eb005360	NA	lavenderblush3
Zm00001eb005370	NA	darkgreen
Zm00001eb005380	NA	yellow
Zm00001eb005390	NA	greenyellow
Zm00001eb005400	NA	saddlebrown
Zm00001eb005420	NA	greenyellow
Zm00001eb005430	NA	mediumpurple3
Zm00001eb005440	NA	blue
Zm00001eb005450	NA	black
Zm00001eb005460	NA	green
Zm00001eb005470	NA	grey
Zm00001eb005490	NA	lightcyan1
Zm00001eb005500	NA	lightgreen
Zm00001eb005510	NA	salmon
Zm00001eb005530	NA	green
Zm00001eb005540	NA	blue
Zm00001eb005550	NA	red
Zm00001eb005560	NA	turquoise
Zm00001eb005570	NA	green
Zm00001eb005580	NA	lightgreen
Zm00001eb005590	NA	lightgreen
Zm00001eb005600	NA	blue
Zm00001eb005610	NA	skyblue
Zm00001eb005630	NA	magenta
Zm00001eb005640	NA	blue
Zm00001eb005650	NA	turquoise
Zm00001eb005660	NA	ivory
Zm00001eb005670	NA	greenyellow
Zm00001eb005680	NA	turquoise
Zm00001eb005690	NA	orange
Zm00001eb005700	NA	black
Zm00001eb005710	NA	greenyellow
Zm00001eb005740	NA	sienna3
Zm00001eb005760	NA	yellow
Zm00001eb005770	NA	blue
Zm00001eb005780	NA	green
Zm00001eb005800	NA	lightcyan1
Zm00001eb005810	NA	brown
Zm00001eb005820	NA	green
Zm00001eb005830	NA	greenyellow
Zm00001eb005840	NA	ivory
Zm00001eb005850	NA	orangered4
Zm00001eb005860	NA	turquoise
Zm00001eb005870	NA	black
Zm00001eb005890	NA	navajowhite2
Zm00001eb005900	NA	lightcyan
Zm00001eb005920	NA	midnightblue
Zm00001eb005930	NA	darkturquoise
Zm00001eb005940	NA	darkturquoise
Zm00001eb005950	NA	yellow
Zm00001eb005960	NA	midnightblue
Zm00001eb005970	NA	magenta
Zm00001eb005980	NA	paleturquoise
Zm00001eb005990	NA	purple
Zm00001eb006000	NA	palevioletred3
Zm00001eb006010	NA	tan
Zm00001eb006020	NA	white
Zm00001eb006030	NA	turquoise
Zm00001eb006050	NA	brown4
Zm00001eb006060	NA	purple
Zm00001eb006080	NA	yellow
Zm00001eb006090	NA	yellow
Zm00001eb006100	NA	brown
Zm00001eb006110	NA	blue
Zm00001eb006120	NA	black
Zm00001eb006130	NA	darkseagreen4
Zm00001eb006140	NA	magenta
Zm00001eb006150	NA	darkgreen
Zm00001eb006160	NA	turquoise
Zm00001eb006170	NA	plum2
Zm00001eb006180	NA	grey60
Zm00001eb006190	NA	black
Zm00001eb006200	NA	maroon
Zm00001eb006210	NA	maroon
Zm00001eb006240	NA	black
Zm00001eb006260	NA	palevioletred3
Zm00001eb006280	NA	cyan
Zm00001eb006290	NA	paleturquoise
Zm00001eb006300	NA	darkgrey
Zm00001eb006310	NA	white
Zm00001eb006320	NA	blue
Zm00001eb006330	NA	tan
Zm00001eb006340	NA	tan
Zm00001eb006350	NA	yellowgreen
Zm00001eb006360	NA	blue
Zm00001eb006370	NA	thistle
Zm00001eb006380	NA	midnightblue
Zm00001eb006390	NA	brown
Zm00001eb006400	NA	greenyellow
Zm00001eb006410	NA	lightcyan
Zm00001eb006420	NA	lightcyan
Zm00001eb006430	NA	brown4
Zm00001eb006440	NA	lightcyan
Zm00001eb006450	NA	greenyellow
Zm00001eb006460	NA	black
Zm00001eb006470	NA	white
Zm00001eb006480	NA	honeydew1
Zm00001eb006490	NA	purple
Zm00001eb006510	NA	magenta
Zm00001eb006520	NA	pink
Zm00001eb006530	NA	darkorange
Zm00001eb006540	NA	green
Zm00001eb006550	NA	darkgreen
Zm00001eb006560	NA	magenta
Zm00001eb006570	NA	cyan
Zm00001eb006590	NA	turquoise
Zm00001eb006600	NA	green
Zm00001eb006610	NA	tan
Zm00001eb006620	NA	lightyellow
Zm00001eb006630	NA	brown4
Zm00001eb006640	NA	skyblue
Zm00001eb006660	NA	blue
Zm00001eb006670	NA	pink
Zm00001eb006680	NA	blue
Zm00001eb006690	NA	midnightblue
Zm00001eb006700	NA	pink
Zm00001eb006710	NA	pink
Zm00001eb006720	NA	lightcyan
Zm00001eb006730	NA	purple
Zm00001eb006740	NA	turquoise
Zm00001eb006760	NA	lightcyan
Zm00001eb006770	NA	red
Zm00001eb006780	NA	coral2
Zm00001eb006790	NA	skyblue3
Zm00001eb006800	NA	skyblue3
Zm00001eb006830	NA	violet
Zm00001eb006840	NA	tan
Zm00001eb006850	NA	salmon
Zm00001eb006860	NA	white
Zm00001eb006870	NA	turquoise
Zm00001eb006880	NA	midnightblue
Zm00001eb006890	NA	floralwhite
Zm00001eb006900	NA	darkgreen
Zm00001eb006910	NA	tan
Zm00001eb006920	NA	darkred
Zm00001eb006930	NA	white
Zm00001eb006940	NA	thistle2
Zm00001eb006950	NA	paleturquoise
Zm00001eb006960	NA	black
Zm00001eb006970	NA	turquoise
Zm00001eb007000	NA	lightsteelblue1
Zm00001eb007010	NA	lightyellow
Zm00001eb007020	NA	turquoise
Zm00001eb007030	NA	lightyellow
Zm00001eb007040	NA	greenyellow
Zm00001eb007050	NA	brown
Zm00001eb007060	NA	saddlebrown
Zm00001eb007070	NA	blue
Zm00001eb007080	NA	brown
Zm00001eb007090	NA	brown
Zm00001eb007100	NA	paleturquoise
Zm00001eb007110	NA	paleturquoise
Zm00001eb007120	NA	red
Zm00001eb007130	NA	greenyellow
Zm00001eb007140	NA	blue
Zm00001eb007150	NA	cyan
Zm00001eb007160	NA	navajowhite1
Zm00001eb007170	NA	tan
Zm00001eb007180	NA	darkgreen
Zm00001eb007190	NA	turquoise
Zm00001eb007200	NA	turquoise
Zm00001eb007220	NA	darkturquoise
Zm00001eb007230	NA	salmon
Zm00001eb007240	NA	darkslateblue
Zm00001eb007250	NA	grey60
Zm00001eb007270	NA	plum2
Zm00001eb007280	NA	yellow
Zm00001eb007290	NA	skyblue
Zm00001eb007300	NA	paleturquoise
Zm00001eb007310	NA	blue
Zm00001eb007320	NA	skyblue3
Zm00001eb007410	NA	plum
Zm00001eb007440	NA	mediumpurple3
Zm00001eb007450	NA	turquoise
Zm00001eb007460	NA	turquoise
Zm00001eb007470	NA	yellow
Zm00001eb007510	NA	darkgreen
Zm00001eb007550	NA	turquoise
Zm00001eb007560	NA	darkmagenta
Zm00001eb007570	NA	floralwhite
Zm00001eb007580	NA	salmon
Zm00001eb007590	NA	magenta
Zm00001eb007600	NA	magenta
Zm00001eb007610	NA	greenyellow
Zm00001eb007630	NA	thistle
Zm00001eb007640	NA	pink
Zm00001eb007650	NA	grey60
Zm00001eb007670	NA	lightcyan1
Zm00001eb007680	NA	magenta
Zm00001eb007690	NA	magenta
Zm00001eb007700	NA	magenta
Zm00001eb007720	NA	brown
Zm00001eb007730	NA	midnightblue
Zm00001eb007740	NA	orangered3
Zm00001eb007750	NA	lightyellow
Zm00001eb007760	NA	brown
Zm00001eb007770	NA	darkturquoise
Zm00001eb007780	NA	magenta
Zm00001eb007790	NA	turquoise
Zm00001eb007800	NA	blue
Zm00001eb007810	NA	brown
Zm00001eb007820	NA	darkgreen
Zm00001eb007830	NA	blue
Zm00001eb007840	NA	blue
Zm00001eb007850	NA	pink
Zm00001eb007860	NA	orange
Zm00001eb007870	NA	plum2
Zm00001eb007880	NA	mediumorchid
Zm00001eb007900	NA	royalblue
Zm00001eb007910	NA	turquoise
Zm00001eb007920	NA	lightyellow
Zm00001eb007930	NA	blue
Zm00001eb007950	NA	bisque4
Zm00001eb007960	NA	tan
Zm00001eb007970	NA	grey60
Zm00001eb007990	NA	red
Zm00001eb008010	NA	red
Zm00001eb008030	NA	brown
Zm00001eb008040	NA	brown
Zm00001eb008050	NA	plum1
Zm00001eb008060	NA	blue
Zm00001eb008070	NA	darkolivegreen
Zm00001eb008080	NA	lightcyan
Zm00001eb008090	NA	turquoise
Zm00001eb008100	NA	greenyellow
Zm00001eb008130	NA	blue
Zm00001eb008140	NA	white
Zm00001eb008150	NA	blue
Zm00001eb008160	NA	salmon
Zm00001eb008170	NA	yellow
Zm00001eb008180	NA	brown4
Zm00001eb008200	NA	lightcyan
Zm00001eb008210	NA	firebrick4
Zm00001eb008220	NA	black
Zm00001eb008240	NA	blue
Zm00001eb008250	NA	salmon
Zm00001eb008260	NA	salmon
Zm00001eb008270	NA	lightcyan
Zm00001eb008280	NA	darkmagenta
Zm00001eb008300	NA	darkmagenta
Zm00001eb008310	NA	lightyellow
Zm00001eb008320	NA	paleturquoise
Zm00001eb008330	NA	grey
Zm00001eb008340	NA	magenta
Zm00001eb008350	NA	magenta
Zm00001eb008360	NA	sienna3
Zm00001eb008370	NA	turquoise
Zm00001eb008380	NA	pink
Zm00001eb008400	NA	darkgreen
Zm00001eb008420	NA	green
Zm00001eb008430	NA	darkgrey
Zm00001eb008440	NA	lightsteelblue1
Zm00001eb008450	NA	salmon
Zm00001eb008460	NA	darkred
Zm00001eb008480	NA	brown
Zm00001eb008490	NA	midnightblue
Zm00001eb008500	NA	blue
Zm00001eb008510	NA	skyblue3
Zm00001eb008520	NA	blue
Zm00001eb008530	NA	black
Zm00001eb008540	NA	indianred4
Zm00001eb008550	NA	mediumpurple3
Zm00001eb008560	NA	steelblue
Zm00001eb008570	NA	brown
Zm00001eb008580	NA	cyan
Zm00001eb008590	NA	darkturquoise
Zm00001eb008610	NA	darkred
Zm00001eb008620	NA	brown
Zm00001eb008630	NA	tan
Zm00001eb008640	NA	coral1
Zm00001eb008650	NA	brown
Zm00001eb008680	NA	white
Zm00001eb008690	NA	brown
Zm00001eb008700	NA	lightyellow
Zm00001eb008710	NA	lightsteelblue1
Zm00001eb008720	NA	orange
Zm00001eb008730	NA	greenyellow
Zm00001eb008740	NA	honeydew1
Zm00001eb008750	NA	tan
Zm00001eb008770	NA	orangered4
Zm00001eb008780	NA	darkred
Zm00001eb008790	NA	plum1
Zm00001eb008800	NA	blue
Zm00001eb008810	NA	yellow
Zm00001eb008820	NA	darkorange2
Zm00001eb008830	NA	grey60
Zm00001eb008850	NA	darkgrey
Zm00001eb008860	NA	palevioletred3
Zm00001eb008870	NA	purple
Zm00001eb008880	NA	turquoise
Zm00001eb008890	NA	brown
Zm00001eb008900	NA	darkgreen
Zm00001eb008910	NA	greenyellow
Zm00001eb008920	NA	navajowhite2
Zm00001eb008930	NA	blue
Zm00001eb008940	NA	yellow
Zm00001eb008950	NA	yellow
Zm00001eb008960	NA	green
Zm00001eb008970	NA	turquoise
Zm00001eb008980	NA	lightgreen
Zm00001eb008990	NA	darkmagenta
Zm00001eb009010	NA	sienna3
Zm00001eb009020	NA	black
Zm00001eb009030	NA	blue
Zm00001eb009040	NA	pink
Zm00001eb009050	NA	pink
Zm00001eb009060	NA	blue
Zm00001eb009070	NA	red
Zm00001eb009080	NA	lightcyan1
Zm00001eb009090	NA	salmon
Zm00001eb009100	NA	darkred
Zm00001eb009110	NA	darkturquoise
Zm00001eb009120	NA	tan
Zm00001eb009130	NA	lavenderblush3
Zm00001eb009140	NA	midnightblue
Zm00001eb009150	NA	plum1
Zm00001eb009160	NA	pink
Zm00001eb009170	NA	cyan
Zm00001eb009230	NA	brown
Zm00001eb009240	NA	darkgrey
Zm00001eb009250	NA	yellow
Zm00001eb009270	NA	black
Zm00001eb009280	NA	thistle2
Zm00001eb009290	NA	darkturquoise
Zm00001eb009300	NA	turquoise
Zm00001eb009310	NA	darkred
Zm00001eb009320	NA	lightcyan1
Zm00001eb009340	NA	greenyellow
Zm00001eb009360	NA	blue
Zm00001eb009370	NA	floralwhite
Zm00001eb009380	NA	plum1
Zm00001eb009390	NA	red
Zm00001eb009400	NA	coral2
Zm00001eb009410	NA	royalblue
Zm00001eb009420	NA	cyan
Zm00001eb009430	NA	turquoise
Zm00001eb009460	NA	blue
Zm00001eb009470	NA	blue
Zm00001eb009480	NA	brown
Zm00001eb009500	NA	darkgrey
Zm00001eb009510	NA	blue
Zm00001eb009520	NA	green
Zm00001eb009530	NA	green
Zm00001eb009540	NA	skyblue
Zm00001eb009560	NA	black
Zm00001eb009570	NA	turquoise
Zm00001eb009580	NA	brown
Zm00001eb009590	NA	blue
Zm00001eb009600	NA	green
